Item Name,Book Price,,Price Per foot or Unit,,Price if Purchased Per:,,,Bid Labor Per Foot or Unit,DCI / UPC
  12 USE-RHW CU STRANDE,"$3,284.52",M,3.28452, ,"$1,970.71",M,1000,0.004,98 0100 27500
  10 USE-RHW CU STRANDE,"$4,002.94",M,4.00294, ,"$2,401.76",M,1000,0.005,98 0100 27600
   8 USE-RHW CU STRANDE,"$7,151.18",M,7.15118, ,"$4,290.71",M,1000,0.006,98 0100 27650
   6 USE-RHW CU STRANDE,"$11,466.24",M,11.46624, ,"$6,879.74",M,1000,0.007,98 0100 27700
   4 USE-RHW CU STRANDE,"$17,470.89",M,17.47089, ,"$10,482.53",M,1000,0.008,98 0100 27740
   3 USE-RHW CU STRANDE,"$23,498.67",M,23.49867, ,"$14,099.20",M,1000,0.009,98 0100 27773
   2 USE-RHW CU STRANDE,"$27,144.87",M,27.14487, ,"$16,286.92",M,1000,0.01,98 0100 27775
   1 USE-RHW CU STRANDE,"$29,111.64",M,29.11164, ,"$17,466.98",M,1000,0.011,98 0100 27815
 1/0 USE-RHW CU STRANDE,"$37,132.38",M,37.13238, ,"$22,279.43",M,1000,0.014,98 0100 27825
 2/0 USE-RHW CU STRANDE,"$46,676.02",M,46.67602, ,"$28,005.61",M,1000,0.016,98 0100 27830
 3/0 USE-RHW CU STRANDE,"$58,327.51",M,58.32751, ,"$34,996.51",M,1000,0.02,98 0100 27835
 4/0 USE-RHW CU STRANDE,"$72,846.82",M,72.84682, ,"$43,708.09",M,1000,0.022,98 0100 27840
 250 USE-RHW CU STRANDE,"$78,268.33",M,78.26833, ,"$46,961.00",M,1000,0.024,98 0100 27845
 300 USE-RHW CU STRANDE,"$89,415.09",M,89.41509, ,"$53,649.05",M,1000,0.026,98 0100 27850
 350 USE-RHW CU STRANDE,"$106,231.42",M,106.23142, ,"$63,738.85",M,1000,0.032,98 0100 27855
 400 USE-RHW CU STRANDE,"$120,456.80",M,120.4568, ,"$72,274.08",M,1000,0.036,98 0100 27860
 500 USE-RHW CU STRANDE,"$145,954.24",M,145.95424, ,"$87,572.54",M,1000,0.038,98 0100 27865
 600 USE-RHW CU STRANDE,"$181,756.24",M,181.75624, ,"$109,053.74",M,1000,0.042,98 0100 27870
 750 USE-RHW CU STRANDE,"$296,264.93",M,296.26493, ,"$177,758.96",M,1000,0.048,98 0100 27880
1000 USE-RHW CU STRANDE,"$392,322.24",M,392.32224, ,"$235,393.34",M,1000,0.054,98 0100 27895
cu thw solid 75deg,$0.00, ,, ,$0.00, ,0,,
  14 THW CU SOLID,"$2,761.70",M,2.7617, ,"$1,657.02",M,1000,0.003,98 0100 21000
  12 THW CU SOLID,"$4,405.60",M,4.4056, ,"$2,643.36",M,1000,0.004,98 0100 21100
  10 THW CU SOLID,"$7,103.24",M,7.10324, ,"$4,261.94",M,1000,0.005,98 0100 21200
cu thw stranded,$0.00, ,, ,$0.00, ,0,,
  14 THW CU STRANDED,"$3,298.30",M,3.2983, ,"$1,978.98",M,1000,0.003,98 0100 21325
  12 THW CU STRANDED,"$5,232.22",M,5.23222, ,"$3,139.33",M,1000,0.004,98 0100 21400
  10 THW CU STRANDED,"$8,247.42",M,8.24742, ,"$4,948.45",M,1000,0.005,98 0100 21500
   8 THW CU STRANDED,"$13,917.86",M,13.91786, ,"$8,350.72",M,1000,0.006,98 0100 21580
   6 THW CU STRANDED,"$23,578.51",M,23.57851, ,"$14,147.11",M,1000,0.007,98 0100 21650
   4 THW CU STRANDED,"$34,216.20",M,34.2162, ,"$20,529.72",M,1000,0.008,98 0100 21700
   3 THW CU STRANDED,"$42,452.11",M,42.45211, ,"$25,471.27",M,1000,0.009,98 0100 21750
   2 THW CU STRANDED,"$53,419.02",M,53.41902, ,"$32,051.41",M,1000,0.01,98 0100 21780
   1 THW CU STRANDED,"$70,124.62",M,70.12462, ,"$42,074.77",M,1000,0.011,98 0100 21825
 1/0 THW CU STRANDED,"$87,326.76",M,87.32676, ,"$52,396.06",M,1000,0.014,98 0100 21830
