Item Name,Book Price,,Price Per foot or Unit,,Price if Purchased Per:,,,Bid Labor Per Foot or Unit,DCI / UPC
10X1 PHILLIPS PAN SS MA,$30.34,C,0.3034, ,$18.20,C,100,0.00,78 1002 70244
10X1 1/4 PHILLIPS PAN S,$38.10,C,0.381, ,$22.86,C,100,0.00,78 1002 70246
10X1 1/2 PHILLIPS PAN S,$50.22,C,0.5022, ,$30.13,C,100,0.00,78 1002 70248
10X2 PHILLIPS PAN SS MA,$50.22,C,0.5022, ,$30.13,C,100,0.00,78 1002 70250
ss hex machine bolts,$0.00, ,, ,$0.00, ,0,,
1/4-20X1/2 SS HEX MACH ,$34.34,C,0.3434, ,$20.60,C,100,0.00,78 1002 69704
1/4-20X3/4 SS HEX MACH ,$41.25,C,0.4125, ,$24.75,C,100,0.00,78 1002 69706
1/4-20X1 SS HEX MACH BO,$44.82,C,0.4482, ,$26.89,C,100,0.00,78 1002 69708
1/4-20X1 1/4 SS HEX MAC,$63.72,C,0.6372, ,$38.23,C,100,0.00,78 1002 69710
1/4-20X1 1/2 SS HEX MAC,$87.15,C,0.8715, ,$52.29,C,100,0.00,78 1002 69712
1/4-20X2 SS HEX MACH BO,$116.32,C,1.1632, ,$69.79,C,100,0.00,78 1002 69714
5/16-18X1/2 SS HEX MACH,$58.19,C,0.5819, ,$34.91,C,100,0.00,78 1002 69744
5/16-18X3/4 SS HEX MACH,$66.69,C,0.6669, ,$40.01,C,100,0.00,78 1002 69746
5/16-18X1 SS HEX MACH B,$86.44,C,0.8644, ,$51.86,C,100,0.00,78 1002 69748
5/16-18X1 1/4 SS HEX MA,$87.05,C,0.8705, ,$52.23,C,100,0.00,78 1002 69750
5/16-18X1 1/2 SS HEX MA,$119.30,C,1.193, ,$71.58,C,100,0.00,78 1002 69752
5/16-18X2 SS HEX MACH B,$178.99,C,1.7899, ,$107.39,C,100,0.00,78 1002 69754
3/8X1/2 SS HEX MACH BOL,$86.14,C,0.8614, ,$51.68,C,100,0.00,78 1002 69804
3/8X3/4 SS HEX MACH BOL,$96.55,C,0.9655, ,$57.93,C,100,0.00,78 1002 69806
3/8X1 SS HEX MACH BOLT,$109.47,C,1.0947, ,$65.68,C,100,0.00,78 1002 69808
3/8X1 1/4 SS HEX MACH B,$133.07,C,1.3307, ,$79.84,C,100,0.00,78 1002 69810
3/8X1 1/2 SS HEX MACH B,$208.48,C,2.0848, ,$125.09,C,100,0.00,78 1002 69812
3/8X2 SS HEX MACH BOLT,$261.03,C,2.6103, ,$156.62,C,100,0.00,78 1002 69814
1/2X3/4 SS HEX MACH BOL,$249.74,C,2.4974, ,$149.84,C,100,0.00,78 1002 69844
1/2X1 SS HEX MACH BOLT,$228.91,C,2.2891, ,$137.35,C,100,0.00,78 1002 69846
1/2X1 1/4 SS HEX MACH B,$258.75,C,2.5875, ,$155.25,C,100,0.00,78 1002 69848
1/2X1 1/2 SS HEX MACH B,$268.69,C,2.6869, ,$161.21,C,100,0.00,78 1002 69850
1/2X2 SS HEX MACH BOLT,$462.97,C,4.6297, ,$277.78,C,100,0.00,78 1002 69852
ss hex nuts,$0.00, ,, ,$0.00, ,0,,
6/32 SS HEX NUT,$14.55,C,0.1455, ,$8.73,C,100,0.00,78 1002 69776
8/32 SS HEX NUT,$15.62,C,0.1562, ,$9.37,C,100,0.00,78 1002 69878
12/24 SS HEX NUT,$27.52,C,0.2752, ,$16.51,C,100,0.00,78 1002 69784
10/32 SS HEX NUT,$17.19,C,0.1719, ,$10.31,C,100,0.00,78 1002 69872
10/24 SS HEX NUT,$17.19,C,0.1719, ,$10.31,C,100,0.00,78 1002 69780
1/4-20 SS HEX NUT,$24.93,C,0.2493, ,$14.96,C,100,0.00,78 1002 69786
5/16-18 SS HEX NUT,$31.50,C,0.315, ,$18.90,C,100,0.00,78 1002 69788
3/8-16 SS HEX NUT,$46.97,C,0.4697, ,$28.18,C,100,0.00,78 1002 69790
1/2-13 SS HEX NUT,$108.02,C,1.0802, ,$64.81,C,100,0.00,78 1002 69792
5/8-11 SS HEX NUT,$223.27,C,2.2327, ,$133.96,C,100,0.00,78 1002 69794
3/4-10 SS HEX NUT,$342.66,C,3.4266, ,$205.60,C,100,0.00,78 1002 69796
ss lock washers,$0.00, ,, ,$0.00, ,0,,
6 SS LOCK WASHER,$4.27,C,0.0427, ,$2.56,C,100,0.00,78 1002 69966
8 SS LOCK WASHER,$5.40,C,0.054, ,$3.24,C,100,0.00,78 1002 69968
10 (3/16) SS LOCK WASHE,$6.26,C,0.0626, ,$3.76,C,100,0.00,78 1002 69970
1/4 SS LOCK WASHER,$13.93,C,0.1393, ,$8.36,C,100,0.00,78 1002 69972
5/16 SS LOCK WASHER,$16.75,C,0.1675, ,$10.05,C,100,0.00,78 1002 69974
3/8 SS LOCK WASHER,$25.79,C,0.2579, ,$15.47,C,100,0.00,78 1002 69976
1/2 SS LOCK WASHER,$49.77,C,0.4977, ,$29.86,C,100,0.00,78 1002 69978
5/8 SS LOCK WASHER,$89.56,C,0.8956, ,$53.74,C,100,0.00,78 1002 69980
3/4 SS LOCK WASHER,$149.31,C,1.4931, ,$89.59,C,100,0.00,78 1002 69982
ss flat washers,$0.00, ,, ,$0.00, ,0,,
6 SS FLAT WASHER,$8.23,C,0.0823, ,$4.94,C,100,0.00,78 1002 69880
8 SS FLAT WASHER,$9.29,C,0.0929, ,$5.57,C,100,0.00,78 1002 69882
10 (3/16) SS FLAT WASHE,$10.53,C,0.1053, ,$6.32,C,100,0.00,78 1002 69884
1/4 SS FLAT WASHER,$18.71,C,0.1871, ,$11.23,C,100,0.00,78 1002 69886
5/16 SS FLAT WASHER,$22.39,C,0.2239, ,$13.43,C,100,0.00,78 1002 69888
3/8 SS FLAT WASHER,$26.14,C,0.2614, ,$15.68,C,100,0.00,78 1002 69890
1/2 SS FLAT WASHER,$63.44,C,0.6344, ,$38.06,C,100,0.00,78 1002 69892
5/8 SS FLAT WASHER,$120.09,C,1.2009, ,$72.05,C,100,0.00,78 1002 69894
3/4 SS FLAT WASHER,$248.74,C,2.4874, ,$149.24,C,100,0.00,78 1002 69896
ss fender washers,$0.00, ,, ,$0.00, ,0,,
3/16X1 SS FENDER WASHER,$52.66,C,0.5266, ,$31.60,C,100,0.00,78 1002 69906
1/4X1 SS FENDER WASHER,$46.60,C,0.466, ,$27.96,C,100,0.00,78 1002 69908
1/4X1 1/4 SS FENDER WAS,$65.35,C,0.6535, ,$39.21,C,100,0.00,78 1002 69910
1/4X1 1/2 SS FENDER WAS,$83.99,C,0.8399, ,$50.39,C,100,0.00,78 1002 69912
5/16X1 1/2 SS FENDER WA,$93.30,C,0.933, ,$55.98,C,100,0.00,78 1002 69914
3/8X1 1/2 SS FENDER WAS,$93.30,C,0.933, ,$55.98,C,100,0.00,78 1002 69916
1/2X2 SS FENDER WASHER,$183.45,C,1.8345, ,$110.07,C,100,0.00,78 1002 69918
ss rod couplers,$0.00, ,, ,$0.00, ,0,,
1/4 SS ROD COUPLER,$665.84,C,6.6584, ,$399.50,C,100,0.08,78 1002 69944
3/8 SS ROD COUPLER,$759.61,C,7.5961, ,$455.77,C,100,0.08,78 1002 69946
1/2 SS ROD COUPLER,"$1,104.13",C,11.0413, ,$662.48,C,100,0.08,78 1002 69948
ss steel city,$0.00, ,, ,$0.00, ,0,,
ss kindorf,$0.00, ,, ,$0.00, ,0,,
1 1/2 SS KINDORF,"$21,942.35",C,219.4235, ,"$13,165.41",C,100,0.05,61 6013 10014
grc/pvc conduit,$0.00, ,, ,$0.00, ,0,,
  1/2 GRC/PVC COATED,"$1,051.61",C,10.5161, ,$630.97,C,100,0.04,98 0040 07001
  3/4 GRC/PVC COATED,"$1,218.79",C,12.1879, ,$731.27,C,100,0.05,98 0040 07002
    1 GRC/PVC COATED,"$1,577.88",C,15.7788, ,$946.73,C,100,0.06,98 0040 07003
1 1/4 GRC/PVC COATED,"$1,996.83",C,19.9683, ,"$1,198.10",C,100,0.08,98 0040 07004
1 1/2 GRC/PVC COATED,"$2,428.44",C,24.2844, ,"$1,457.06",C,100,0.1,98 0040 07005
    2 GRC/PVC COATED,"$3,167.97",C,31.6797, ,"$1,900.78",C,100,0.12,98 0040 07006
2 1/2 GRC/PVC COATED,"$4,797.28",C,47.9728, ,"$2,878.37",C,100,0.15,98 0040 07007
    3 GRC/PVC COATED,"$6,055.89",C,60.5589, ,"$3,633.53",C,100,0.18,98 0040 07008
3 1/2 GRC/PVC COATED,"$7,406.54",C,74.0654, ,"$4,443.92",C,100,0.2,98 0040 07009
    4 GRC/PVC COATED,"$8,728.80",C,87.288, ,"$5,237.28",C,100,0.25,98 0040 07010
    5 GRC/PVC COATED,"$15,472.52",C,154.7252, ,"$9,283.51",C,100,0.3,98 0040 07012
    6 GRC/PVC COATED,"$21,202.88",C,212.0288, ,"$12,721.73",C,100,0.48,98 0040 07013
ocal grc/pvc grey condu,$0.00, ,, ,$0.00, ,0,,
  1/2 GRC/PVC CONDUIT,"$1,200.63",C,12.0063, ,$720.38,C,100,0.04,70 4508 26101
  3/4 GRC/PVC CONDUIT,"$1,391.50",C,13.915, ,$834.90,C,100,0.05,70 4508 26102
    1 GRC/PVC CONDUIT,"$1,801.50",C,18.015, ,"$1,080.90",C,100,0.06,70 4508 26103
1-1/4 GRC/PVC CONDUIT,"$2,279.78",C,22.7978, ,"$1,367.87",C,100,0.08,70 4508 26104
1-1/2 GRC/PVC CONDUIT,"$2,772.56",C,27.7256, ,"$1,663.54",C,100,0.1,70 4508 26105
    2 GRC/PVC CONDUIT,"$3,616.87",C,36.1687, ,"$2,170.12",C,100,0.12,70 4508 26106
2-1/2 GRC/PVC CONDUIT,"$5,477.08",C,54.7708, ,"$3,286.25",C,100,0.15,70 4508 26107
    3 GRC/PVC CONDUIT,"$6,914.01",C,69.1401, ,"$4,148.41",C,100,0.18,70 4508 26108
3-1/2 GRC/PVC CONDUIT,"$8,456.08",C,84.5608, ,"$5,073.65",C,100,0.2,70 4508 26109
    4 GRC/PVC CONDUIT,"$9,965.72",C,99.6572, ,"$5,979.43",C,100,0.25,70 4508 26110
    5 GRC/PVC CONDUIT,"$17,665.01",C,176.6501, ,"$10,599.01",C,100,0.3,70 4508 26112
    6 GRC/PVC CONDUIT,"$24,207.36",C,242.0736, ,"$14,524.42",C,100,0.4,70 4508 26114
grc/pvc couplings,$0.00, ,, ,$0.00, ,0,,
  1/2 GRC/PVC COUP,"$1,212.12",C,12.1212, ,$727.27,C,100,0.05,98 0040 07041
  3/4 GRC/PVC COUP,"$1,268.14",C,12.6814, ,$760.88,C,100,0.06,98 0040 07042
    1 GRC/PVC COUP,"$1,648.42",C,16.4842, ,$989.05,C,100,0.07,98 0040 07043
1 1/4 GRC/PVC COUP,"$1,918.34",C,19.1834, ,"$1,151.00",C,100,0.09,98 0040 07044
1 1/2 GRC/PVC COUP,"$2,285.04",C,22.8504, ,"$1,371.02",C,100,0.1,98 0040 07045
    2 GRC/PVC COUP,"$3,342.67",C,33.4267, ,"$2,005.60",C,100,0.12,98 0040 07046
2 1/2 GRC/PVC COUP,"$8,272.64",C,82.7264, ,"$4,963.58",C,100,0.14,98 0040 07047
    3 GRC/PVC COUP,"$10,046.68",C,100.4668, ,"$6,028.01",C,100,0.15,98 0040 07048
3 1/2 GRC/PVC COUP,"$12,890.25",C,128.9025, ,"$7,734.15",C,100,0.16,98 0040 07049
    4 GRC/PVC COUP,"$15,070.03",C,150.7003, ,"$9,042.02",C,100,0.18,98 0040 07050
    5 GRC/PVC COUP,"$49,097.70",C,490.977, ,$294.59,E,0,0.20,98 0040 07052
ocal grc/pvc grey coupl,$0.00, ,, ,$0.00, ,0,,
  1/2 GRC/PVC COUPLINGG,$14.54,E,$14.54, ,$872.40,C,100,0.05,70 4508 36215
  3/4 GRC/PVC COUPLING,$15.95,E,$15.95, ,$957.00,C,100,0.06,70 4508 36257
    1 GRC/PVC COUPLING,$20.67,E,$20.67, ,"$1,240.20",C,100,0.07,70 4508 36221
1-1/4 GRC/PVC COUPLING,$24.10,E,$24.10, ,"$1,446.00",C,100,0.09,70 4508 36233
1-1/2 GRC/PVC COUPLING,$28.71,E,$28.71, ,"$1,722.60",C,100,0.1,70 4508 36225
    2 GRC/PVC COUPLING,$41.96,E,$41.96, ,"$2,517.60",C,100,0.12,70 4508 36243
2-1/2 GRC/PVC COUPLING,$99.41,E,$99.41, ,"$5,964.60",C,100,0.14,70 4508 36247
    3 GRC/PVC COUPLING,$120.75,E,$120.75, ,"$7,245.00",C,100,0.15,70 4508 36264
3-1/2 GRC/PVC COUPLING,$161.86,E,$161.86, ,"$9,711.60",C,100,0.16,70 4508 01570
    4 GRC/PVC COUPLING,$181.05,E,$181.05, ,"$10,863.00",C,100,0.18,70 4508 01361
    5 GRC/PVC COUPLING,$560.55,E,$560.55, ,$336.33,E,0,0.20,70 4508 36282
    6 GRC/PVC COUPLING,$626.14,E,$626.14, ,$375.68,E,0,0.22,70 4508 36288
grc/pvc 90 elbow,$0.00, ,, ,$0.00, ,0,,
  1/2 GRC/PVC 90 ELBOW,"$4,352.77",C,43.5277, ,"$2,611.66",C,100,0.25,98 0040 07021
  3/4 GRC/PVC 90 ELBOW,"$4,517.44",C,45.1744, ,"$2,710.46",C,100,0.3,98 0040 07022
    1 GRC/PVC 90 ELBOW,"$5,181.22",C,51.8122, ,"$3,108.73",C,100,0.35,98 0040 07023
1 1/4 GRC/PVC 90 ELBOW,"$6,366.18",C,63.6618, ,"$3,819.71",C,100,0.4,98 0040 07024
1 1/2 GRC/PVC 90 ELBOW,"$7,822.76",C,78.2276, ,"$4,693.66",C,100,0.5,98 0040 07025
    2 GRC/PVC 90 ELBOW,"$10,917.58",C,109.1758, ,"$6,550.55",C,100,0.65,98 0040 07026
2 1/2 GRC/PVC 90 ELBOW,"$20,570.41",C,205.7041, ,"$12,342.25",C,100,0.85,98 0040 07027
    3 GRC/PVC 90 ELBOW,"$32,876.66",C,328.7666, ,$197.26,E,0,1.00,98 0040 07028
3 1/2 GRC/PVC 90 ELBOW,"$43,137.25",C,431.3725, ,$258.82,E,0,1.30,98 0040 07029
    4 GRC/PVC 90 ELBOW,"$46,938.29",C,469.3829, ,$281.63,E,0,1.60,98 0040 07030
    5 GRC/PVC 90 ELBOW,"$113,114.33",C,1131.1433, ,$678.69,E,0,2.00,98 0040 07032
    6 GRC/PVC 90 ELBOW,"$206,065.68",C,2060.6568, ,"$1,236.39",E,0,2.60,98 0040 07033
ocal grc/pvc 90 deg elb,$0.00, ,, ,$0.00, ,0,,
  1/2 GRC/PVC 90D ELBOW,$49.70,E,$49.70, ,"$2,982.00",C,100,0.25,70 4508 36980
  3/4 GRC/PVC 90D ELBOW,$51.58,E,$51.58, ,"$3,094.80",C,100,0.3,70 4508 37040
    1 GRC/PVC 90D ELBOW,$59.17,E,$59.17, ,"$3,550.20",C,100,0.35,70 4508 36988
1-1/4 GRC/PVC 90D ELBOW,$72.69,E,$72.69, ,"$4,361.40",C,100,0.4,70 4508 37003
1-1/2 GRC/PVC 90D ELBOW,$89.34,E,$89.34, ,"$5,360.40",C,100,0.5,70 4508 36992
    2 GRC/PVC 90D ELBOW,$124.64,E,$124.64, ,"$7,478.40",C,100,0.65,70 4508 37019
2-1/2 GRC/PVC 90D ELBOW,$234.84,E,$234.84, ,"$14,090.40",C,100,0.85,70 4508 37023
    3 GRC/PVC 90D ELBOW,$375.32,E,$375.32, ,$225.19,E,0,1.00,70 4508 37051
3-1/2 GRC/PVC 90D ELBOW,$492.50,E,$492.50, ,$295.50,E,0,1.30,70 4508 37055
    4 GRC/PVC 90D ELBOW,$535.90,E,$535.90, ,$321.54,E,0,1.60,70 4508 37068
    5 GRC/PVC 90D ELBOW,"$1,291.42",E,"$1,291.42", ,$774.85,E,0,2.00,70 4508 37083
    6 GRC/PVC 90D ELBOW,"$2,352.67",E,"$2,352.67", ,"$1,411.60",E,0,2.80,70 4508 37090
ocal grc/pvc 45 deg elb,$0.00, ,, ,$0.00, ,0,,
  1/2 GRC/PVC 45D ELBOW,$49.70,E,$49.70, ,"$2,982.00",C,100,0.25,70 4508 36983
  3/4 GRC/PVC 45D ELBOW,$51.58,E,$51.58, ,"$3,094.80",C,100,0.3,70 4508 37046
    1 GRC/PVC 45D ELBOW,$59.17,E,$59.17, ,"$3,550.20",C,100,0.35,70 4508 37014
1-1/4 GRC/PVC 45D ELBOW,$72.69,E,$72.69, ,"$4,361.40",C,100,0.4,70 4508 37008
1-1/2 GRC/PVC 45D ELBOW,$89.34,E,$89.34, ,"$5,360.40",C,100,0.5,70 4508 36997
    2 GRC/PVC 45D ELBOW,$124.64,E,$124.64, ,"$7,478.40",C,100,0.65,70 4508 37034
2-1/2 GRC/PVC 45D ELBOW,$234.84,E,$234.84, ,"$14,090.40",C,100,0.85,70 4508 37026
    3 GRC/PVC 45D ELBOW,$375.32,E,$375.32, ,$225.19,E,0,1.00,70 4508 37062
3-1/2 GRC/PVC 45D ELBOW,$492.50,E,$492.50, ,$295.50,E,0,1.30,70 4508 37056
    4 GRC/PVC 45D ELBOW,$535.90,E,$535.90, ,$321.54,E,0,1.60,70 4508 37075
    5 GRC/PVC 45D ELBOW,"$1,291.42",E,"$1,291.42", ,$774.85,E,0,2.00,70 4508 37085
ocal grc/pvc 90 deg lon,$0.00, ,, ,$0.00, ,0,,
"    1 GRC/PVC 12"" LR 90",$191.16,E,$191.16, ,$114.70,E,0,0.35,70 4508 39500
"    1 GRC/PVC 15"" LR 90",$219.66,E,$219.66, ,$131.80,E,0,0.35,70 4508 39504
"    1 GRC/PVC 18"" LR 90",$246.66,E,$246.66, ,$148.00,E,0,0.35,70 4508 39506
"    1 GRC/PVC 24"" LR 90",$312.02,E,$312.02, ,$187.21,E,0,0.35,70 4508 39509
"    1 GRC/PVC 36"" LR 90",$429.83,E,$429.83, ,$257.90,E,0,0.45,70 4508 39518
"    1 GRC/PVC 48"" LR 90",$545.33,E,$545.33, ,$327.20,E,0,0.50,70 4508 39524
"1 1/4 GRC/PVC 15"" LR 90",$248.04,E,$248.04, ,$148.82,E,0,0.40,70 4508 01180
"1 1/4 GRC/PVC 18"" LR 90",$289.91,E,$289.91, ,$173.95,E,0,0.40,70 4508 39487
"1 1/4 GRC/PVC 24"" LR 90",$339.53,E,$339.53, ,$203.72,E,0,0.40,70 4508 39489
"1 1/4 GRC/PVC 30"" LR 90",$420.44,E,$420.44, ,$252.26,E,0,0.40,70 4508 39492
"1 1/4 GRC/PVC 36"" LR 90",$471.43,E,$471.43, ,$282.86,E,0,0.45,70 4508 39494
"1 1/4 GRC/PVC 48"" LR 90",$644.53,E,$644.53, ,$386.72,E,0,0.50,70 4508 39498
"1 1/2 GRC/PVC 12"" LR 90",$223.89,E,$223.89, ,$134.33,E,0,0.50,70 4508 39458
"1 1/2 GRC/PVC 15"" LR 90",$275.48,E,$275.48, ,$165.29,E,0,0.50,70 4508 39460
"1 1/2 GRC/PVC 18"" LR 90",$309.65,E,$309.65, ,$185.79,E,0,0.50,70 4508 39462
"1 1/2 GRC/PVC 24"" 90D E",$382.65,E,$382.65, ,$229.59,E,0,0.50,70 4508 39464
"1 1/2 GRC/PVC 36"" LR 90",$532.92,E,$532.92, ,$319.75,E,0,0.60,70 4508 39473
"1 1/2 GRC/PVC 48"" LR 90",$729.21,E,$729.21, ,$437.53,E,0,0.70,70 4508 39479
"    2 GRC/PVC 12"" LR 90",$280.11,E,$280.11, ,$168.07,E,0,0.65,70 4508 39544
"    2 GRC/PVC 15"" LR 90",$361.98,E,$361.98, ,$217.19,E,0,0.65,70 4508 39546
"    2 GRC/PVC 18"" LR 90",$389.31,E,$389.31, ,$233.59,E,0,0.65,70 4508 39548
"    2 GRC/PVC 24"" LR 90",$494.18,E,$494.18, ,$296.51,E,0,0.70,70 4508 39550
"    2 GRC/PVC 30"" LR 90",$585.59,E,$585.59, ,$351.35,E,0,0.75,70 4508 39556
"     GRC/PVC 36"" LR 90D",$687.00,E,$687.00, ,$412.20,E,0,0.85,70 4508 39558
"    2 GRC/PVC 48"" LR 90",$870.35,E,$870.35, ,$522.21,E,0,1.10,70 4508 39565
"2 1/2 GRC/PVC 18"" LR 90",$581.09,E,$581.09, ,$348.65,E,0,0.90,70 4508 39530
"2 1/2 GRC/PVC 24"" LR 90",$743.78,E,$743.78, ,$446.27,E,0,0.90,70 4508 39532
"2 1/2 GRC/PVC 36"" LR 90",$980.58,E,$980.58, ,$588.35,E,0,1.10,70 4508 39537
"2 1/2 GRC/PVC 48"" LR 90","$1,229.89",E,"$1,229.89", ,$737.93,E,0,1.25,70 4508 39542
"    3 GRC/PVC 18"" LR 90",$717.99,E,$717.99, ,$430.79,E,0,1.00,70 4508 39590
"    3 GRC/PVC 24"" LR 90",$899.01,E,$899.01, ,$539.41,E,0,1.20,70 4508 39592
"    3 GRC/PVC 30"" LR 90","$1,043.46",E,"$1,043.46", ,$626.08,E,0,1.30,70 4508 39594
"    3 GRC/PVC 36"" LR 90","$1,227.85",E,"$1,227.85", ,$736.71,E,0,1.45,70 4508 39598
"    3 GRC/PVC 48"" LR 90","$1,552.76",E,"$1,552.76", ,$931.66,E,0,1.60,70 4508 39604
"3 1/2 GRC/PVC 18"" LR 90",$990.71,E,$990.71, ,$594.43,E,0,1.30,70 4508 39576
"3 1/2 GRC/PVC 24"" LR 90","$1,051.59",E,"$1,051.59", ,$630.95,E,0,1.30,70 4508 39578
"3 1/2 GRC/PVC 30"" LR 90","$1,320.36",E,"$1,320.36", ,$792.22,E,0,1.40,70 4508 39580
"3 1/2 GRC/PVC 36"" LR 90","$1,454.69",E,"$1,454.69", ,$872.81,E,0,1.55,70 4508 39582
"3 1/2 GRC/PVC 48"" LR 90","$2,032.63",E,"$2,032.63", ,"$1,219.58",E,0,1.85,70 4508 39586
"    4 GRC/PVC 18"" LR 90","$1,009.38",E,"$1,009.38", ,$605.63,E,0,1.60,70 4508 39609
"    4 GRC/PVC 24"" LR 90","$1,212.17",E,"$1,212.17", ,$727.30,E,0,1.60,70 4508 39611
"    4 GRC/PVC 30"" LR 90","$1,472.03",E,"$1,472.03", ,$883.22,E,0,1.75,70 4508 39615
"    4 GRC/PVC 36"" LR 90","$1,638.49",E,"$1,638.49", ,$983.09,E,0,1.85,70 4508 39617
"    4 GRC/PVC 48"" LR 90","$2,211.88",E,"$2,211.88", ,"$1,327.13",E,0,2.10,70 4508 39627
"    5 GRC/PVC 30"" LR 90","$2,345.15",E,"$2,345.15", ,"$1,407.09",E,0,2.00,70 4508 39636
"    5 GRC/PVC 36"" LR 90","$2,513.58",E,"$2,513.58", ,"$1,508.15",E,0,2.20,70 4508 39638
"    5 GRC/PVC 48"" LR 90","$3,210.43",E,"$3,210.43", ,"$1,926.26",E,0,2.85,70 4508 39645
"    6 GRC/PVC 36"" LR 90","$3,353.55",E,"$3,353.55", ,"$2,012.13",E,0,2.85,70 4508 39652
"    6 GRC/PVC 48"" LR 90","$3,733.92",E,"$3,733.92", ,"$2,240.35",E,0,3.50,70 4508 39656
ocal grc/pvc 45deg long,$0.00, ,, ,$0.00, ,0,,
"    1 GRC/PVC 36"" 45D L",$431.03,E,$431.03, ,$258.62,E,0,0.45,70 4508 00949
"1 1/2 GRC/PVC 36"" 45D L",$534.19,E,$534.19, ,$320.51,E,0,0.60,70 4508 00950
"    2 GRC/PVC 24"" 45D L",$520.21,E,$520.21, ,$312.13,E,0,0.70,70 4508 42024
"    2 GRC/PVC 36"" 45D L",$723.15,E,$723.15, ,$433.89,E,0,0.85,70 4508 39560
"    3 GRC/PVC 18"" 45D L",$755.76,E,$755.76, ,$453.46,E,0,1.00,70 4508 42904
"    3 GRC/PVC 36"" 45D L","$1,227.85",E,"$1,227.85", ,$736.71,E,0,1.45,70 4508 42782
"    4 GRC/PVC 36"" 45D L","$1,724.72",E,"$1,724.72", ,"$1,034.83",E,0,1.85,70 4508 39620
"    5 GRC/PVC 48"" 45D L","$3,379.37",E,"$3,379.37", ,"$2,027.62",E,0,2.85,70 4508 42819
grc/pvc ocal nipples,$0.00, ,, ,$0.00, ,0,,
  1/2X2 GRC/PVC NIP,$44.03,E,$44.03, ,"$2,641.80",C,100,0.1,70 4508 39744
  1/2X2 1/2 GRC/PVC NIP,$49.70,E,$49.70, ,"$2,982.00",C,100,0.1,70 4508 39747
  1/2X3 GRC/PVC NIP,$50.11,E,$50.11, ,"$3,006.60",C,100,0.12,70 4508 39752
  1/2X3 1/2 GRC/PVC NIP,$55.86,E,$55.86, ,"$3,351.60",C,100,0.12,70 4508 39754
  1/2X4 GRC/PVC NIP,$56.27,E,$56.27, ,"$3,376.20",C,100,0.1,70 4508 39759
  1/2X5 GRC/PVC NIP,$57.09,E,$57.09, ,"$3,425.40",C,100,0.12,70 4508 39764
  1/2X6 1/2 GRC/PVC NIP,$58.56,E,$58.56, ,"$3,513.60",C,100,0.12,70 4508 39767
  1/2X8 GRC/PVC NIP,$60.88,E,$60.88, ,"$3,652.80",C,100,0.1,70 4508 39771
  1/2X10 GRC/PVC NIP,$63.32,E,$63.32, ,"$3,799.20",C,100,0.12,70 4508 39736
  1/2X12 1/2 GRC/PVC NI,$65.88,E,$65.88, ,"$3,952.80",C,100,0.12,70 4508 39741
  3/4X2 GRC/PVC NIP,$44.84,E,$44.84, ,"$2,690.40",C,100,0.12,70 4508 39945
  3/4X2 1/2 GRC/PVC NIP,$50.90,E,$50.90, ,"$3,054.00",C,100,0.12,70 4508 39948
  3/4X3 GRC/PVC NIP,$51.28,E,$51.28, ,"$3,076.80",C,100,0.12,70 4508 39954
  3/4X3 1/2 GRC/PVC NIP,$57.09,E,$57.09, ,"$3,425.40",C,100,0.12,70 4508 39957
  3/4X4 GRC/PVC NIP,$57.83,E,$57.83, ,"$3,469.80",C,100,0.12,70 4508 39964
  3/4X5 GRC/PVC NIP,$58.67,E,$58.67, ,"$3,520.20",C,100,0.12,70 4508 39972
  3/4X6 GRC/PVC NIP,$60.14,E,$60.14, ,"$3,608.40",C,100,0.12,70 4508 39977
  3/4X8 GRC/PVC NIP,$62.51,E,$62.51, ,"$3,750.60",C,100,0.12,70 4508 39984
  3/4X10 GRC/PVC NIP,$64.86,E,$64.86, ,"$3,891.60",C,100,0.12,70 4508 39934
  3/4X12 GRC/PVC NIP,$67.66,E,$67.66, ,"$4,059.60",C,100,0.12,70 4508 39940
    1X2 GRC/PVC NIP,$47.39,E,$47.39, ,"$2,843.40",C,100,0.14,70 4508 39849
    1X2 1/2 GRC/PVC NIP,$53.45,E,$53.45, ,"$3,207.00",C,100,0.14,70 4508 39852
    1X3 GRC/PVC NIP,$54.21,E,$54.21, ,"$3,252.60",C,100,0.14,70 4508 39857
    1X3 1/2 GRC/PVC NIP,$60.39,E,$60.39, ,"$3,623.40",C,100,0.14,70 4508 39859
    1X4 GRC/PVC NIP,$61.16,E,$61.16, ,"$3,669.60",C,100,0.14,70 4508 39864
    1X5 GRC/PVC NIP,$62.10,E,$62.10, ,"$3,726.00",C,100,0.14,70 4508 39870
    1X6 GRC/PVC NIP,$63.72,E,$63.72, ,"$3,823.20",C,100,0.14,70 4508 39874
    1X8 GRC/PVC NIP,$67.33,E,$67.33, ,"$4,039.80",C,100,0.14,70 4508 39880
    1X10 GRC/PVC NIP,$70.89,E,$70.89, ,"$4,253.40",C,100,0.14,70 4508 39841
    1X12 GRC/PVC NIP,$79.88,E,$79.88, ,"$4,792.80",C,100,0.14,70 4508 39845
1-1/4X2 GRC/PVC NIP,$58.25,E,$58.25, ,"$3,495.00",C,100,0.15,70 4508 39816
1-1/4X2 1/2 GRC/PVC NIP,$64.70,E,$64.70, ,"$3,882.00",C,100,0.15,70 4508 39818
