assmNum,assmName,level1,level2,level3,matchType
906,n3 emt d/s beam clamp,Feeder,EMT,"D/S, Beam Clamp",unique
912,n2 emt d/s beam clamp,Feeder,EMT,"D/S, Beam Clamp",unique
918,n1 emt d/s beam clamp,Feeder,EMT,"D/S, Beam Clamp",unique
924,n1/0 emt d/s beam clamp,Feeder,EMT,"D/S, Beam Clamp",unique
930,n2/0 emt d/s beam clamp,Feeder,EMT,"D/S, Beam Clamp",unique
936,n3/0 emt d/s beam clamp,Feeder,EMT,"D/S, Beam Clamp",unique
942,n4/0 emt d/s beam clamp,Feeder,EMT,"D/S, Beam Clamp",unique
948,n250 emt d/s beam clamp,Feeder,EMT,"D/S, Beam Clamp",unique
954,n300 emt d/s beam clamp,Feeder,EMT,"D/S, Beam Clamp",unique
960,n350 emt d/s beam clamp,Feeder,EMT,"D/S, Beam Clamp",unique
966,n400 emt d/s beam clamp,Feeder,EMT,"D/S, Beam Clamp",unique
972,n500 emt d/s beam clamp,Feeder,EMT,"D/S, Beam Clamp",unique
978,n600 emt d/s beam clamp,Feeder,EMT,"D/S, Beam Clamp",unique
984,n750 emt d/s beam clamp,Feeder,EMT,"D/S, Beam Clamp",unique
993,n14 emt d/c beam clamp,Branch,EMT,D/C Beam Clamp,unique
1002,n12 emt d/c beam clamp,Branch,EMT,D/C Beam Clamp,unique
1011,n10 emt d/c beam clamp,Branch,EMT,D/C Beam Clamp,unique
1020,n8 emt d/c beam clamp,Branch,EMT,D/C Beam Clamp,unique
1027,n6 emt d/c beam clamp,Branch,EMT,D/C Beam Clamp,unique
1033,n4 emt d/c beam clamp,Branch,EMT,D/C Beam Clamp,unique
1038,n3 emt d/c beam clamp,Feeder,EMT,"D/C, Beam Clamp",unique
1044,n2 emt d/c beam clamp,Feeder,EMT,"D/C, Beam Clamp",unique
1050,n1 emt d/c beam clamp,Feeder,EMT,"D/C, Beam Clamp",unique
1056,n1/0 emt d/c beam clamp,Feeder,EMT,"D/C, Beam Clamp",unique
1062,n2/0 emt d/c beam clamp,Feeder,EMT,"D/C, Beam Clamp",unique
1068,n3/0 emt d/c beam clamp,Feeder,EMT,"D/C, Beam Clamp",unique
1074,n4/0 emt d/c beam clamp,Feeder,EMT,"D/C, Beam Clamp",unique
1080,n250 emt d/c beam clamp,Feeder,EMT,"D/C, Beam Clamp",unique
1086,n300 emt d/c beam clamp,Feeder,EMT,"D/C, Beam Clamp",unique
1092,n350 emt d/c beam clamp,Feeder,EMT,"D/C, Beam Clamp",unique
1098,n400 emt d/c beam clamp,Feeder,EMT,"D/C, Beam Clamp",unique
1104,n500 emt d/c beam clamp,Feeder,EMT,"D/C, Beam Clamp",unique
1110,n600 emt d/c beam clamp,Feeder,EMT,"D/C, Beam Clamp",unique
1116,n750 emt d/c beam clamp,Feeder,EMT,"D/C, Beam Clamp",unique
1125,n14 emt s/s beam clamp,Branch,EMT,S/S Beam Clamp,unique
1134,n12 emt s/s beam clamp,Branch,EMT,S/S Beam Clamp,unique
1143,n10 emt s/s beam clamp,Branch,EMT,S/S Beam Clamp,unique
1152,n8 emt s/s beam clamp,Branch,EMT,S/S Beam Clamp,unique
1159,n6 emt s/s beam clamp,Branch,EMT,S/S Beam Clamp,unique
1165,n4 emt s/s beam clamp,Branch,EMT,S/S Beam Clamp,unique
1171,n3 emt s/s beam clamp,Feeder,EMT,"S/S, Beam Clamp",unique
1177,n2 emt s/s beam clamp,Feeder,EMT,"S/S, Beam Clamp",unique
1183,n1 emt s/s beam clamp,Feeder,EMT,"S/S, Beam Clamp",unique
1189,n1/0 emt s/s beam clamp,Feeder,EMT,"S/S, Beam Clamp",unique
1195,n2/0 emt s/s beam clamp,Feeder,EMT,"S/S, Beam Clamp",unique
1201,n3/0 emt s/s beam clamp,Feeder,EMT,"S/S, Beam Clamp",unique
1207,n4/0 emt s/s beam clamp,Feeder,EMT,"S/S, Beam Clamp",unique
1213,n250 emt s/s beam clamp,Feeder,EMT,"S/S, Beam Clamp",unique
1219,n300 emt s/s beam clamp,Feeder,EMT,"S/S, Beam Clamp",unique
1225,n350 emt s/s beam clamp,Feeder,EMT,"S/S, Beam Clamp",unique
1231,n400 emt s/s beam clamp,Feeder,EMT,"S/S, Beam Clamp",unique
1237,n500 emt s/s beam clamp,Feeder,EMT,"S/S, Beam Clamp",unique
1243,n600 emt s/s beam clamp,Feeder,EMT,"S/S, Beam Clamp",unique
1249,n750 emt s/s beam clamp,Feeder,EMT,"S/S, Beam Clamp",unique
1257,n14 emt s/c beam clamp,Branch,EMT,S/C Beam Clamp,unique
1266,n12 emt s/c beam clamp,Branch,EMT,S/C Beam Clamp,unique
1275,n10 emt s/c beam clamp,Branch,EMT,S/C Beam Clamp,unique
1284,n8 emt s/c beam clamp,Branch,EMT,S/C Beam Clamp,unique
1291,n6 emt s/c beam clamp,Branch,EMT,S/C Beam Clamp,unique
1297,n4 emt s/c beam clamp,Branch,EMT,S/C Beam Clamp,unique
1303,n3 emt s/c beam clamp,Feeder,EMT,"S/C, Beam Clamp",unique
1309,n2 emt s/c beam clamp,Feeder,EMT,"S/C, Beam Clamp",unique
1315,n1 emt s/c beam clamp,Feeder,EMT,"S/C, Beam Clamp",unique
1321,n1/0 emt s/c beam clamp,Feeder,EMT,"S/C, Beam Clamp",unique
1327,n2/0 emt s/c beam clamp,Feeder,EMT,"S/C, Beam Clamp",unique
1333,n3/0 emt s/c beam clamp,Feeder,EMT,"S/C, Beam Clamp",unique
1339,n4/0 emt s/c beam clamp,Feeder,EMT,"S/C, Beam Clamp",unique
1345,n250 emt s/c beam clamp,Feeder,EMT,"S/C, Beam Clamp",unique
1351,n300 emt s/c beam clamp,Feeder,EMT,"S/C, Beam Clamp",unique
1357,n350 emt s/c beam clamp,Feeder,EMT,"S/C, Beam Clamp",unique
1363,n400 emt s/c beam clamp,Feeder,EMT,"S/C, Beam Clamp",unique
1369,n500 emt s/c beam clamp,Feeder,EMT,"S/C, Beam Clamp",unique
1375,n600 emt s/c beam clamp,Feeder,EMT,"S/C, Beam Clamp",unique
1381,n750 emt s/c beam clamp,Feeder,EMT,"S/C, Beam Clamp",unique
