Item Name,Price Per foot or Unit,Bid Labor Per Foot or Unit
"30"" HORZ CROSS 36""R FRP",,4.00
"36"" HORZ CROSS 36""R FRP",,4.00
"enduro vert tee 12""r fr",,
" 6"" VERT TEE 12""R FRP T",,2.00
" 9"" VERT TEE 12""R FRP T",,2.00
"12"" VERT TEE 12""R FRP T",,2.00
"18"" VERT TEE 12""R FRP T",,3.00
"24"" VERT TEE 12""R FRP T",,3.00
"30"" VERT TEE 12""R FRP T",,3.00
"36"" VERT TEE 12""R FRP T",,3.00
"enduro vert tee 24""r fr",,
" 6"" VERT TEE 24""R FRP T",,2.00
" 9"" VERT TEE 24""R FRP T",,2.00
"12"" VERT TEE 24""R FRP T",,2.00
"18"" VERT TEE 24""R FRP T",,3.00
"24"" VERT TEE 24""R FRP T",,3.00
"30"" VERT TEE 24""R FRP T",,3.00
"36"" VERT TEE 24""R FRP T",,3.00
"enduro vert tee 36""r fr",,
" 6"" VERT TEE 36""R FRP T",,2.00
" 9"" VERT TEE 36""R FRP T",,2.00
"12"" VERT TEE 36""R FRP T",,2.00
"18"" VERT TEE 36""R FRP T",,3.00
"24"" VERT TEE 36""R FRP T",,3.00
"30"" VERT TEE 36""R FRP T",,3.00
"36"" VERT TEE 36""R FRP T",,3.00
"enduro horz bend 90 12""",,
" 6"" HORZ BEND 90 12""R F",,1.50
" 9"" HORZ BEND 90 12""R F",,1.50
"12"" HORZ BEND 90 12""R F",,1.50
"18"" HORZ BEND 90 12""R F",,2.00
"24"" HORZ BEND 90 12""R F",,2.00
"30"" HORZ BEND 90 12""R F",,2.00
"36"" HORZ BEND 90 12""R F",,2.00
"enduro horz bend 90 24""",,
" 6"" HORZ BEND 90 24""R F",,1.00
" 9"" HORZ BEND 90 24""R F",,1.00
"12"" HORZ BEND 90 24""R F",,2.00
"18"" HORZ BEND 90 24""R F",,2.00
"24"" HORZ BEND 90 24""R F",,2.00
"30"" HORZ BEND 90 24""R F",,2.00
"36"" HORZ BEND 90 24""R F",,2.00
"enduro horz bend 90 36""",,
" 6"" HORZ BEND 90 36""R F",,1.00
" 9"" HORZ BEND 90 36""R F",,1.00
"12"" HORZ BEND 90 36""R F",,1.00
"18"" HORZ BEND 90 36""R F",,2.00
"24"" HORZ BEND 90 36""R F",,2.00
"30"" HORZ BEND 90 36""R F",,2.00
"36"" HORZ BEND 90 36""R F",,2.00
"enduro horz bend 45 12""",,
" 6"" HORZ BEND 45 12""R F",,1.00
" 9"" HORZ BEND 45 12""R F",,1.00
"12"" HORZ BEND 45 12""R F",,2.00
"18"" HORZ BEND 45 12""R F",,2.00
"24"" HORZ BEND 45 12""R F",,2.00
"30"" HORZ BEND 45 12""R F",,2.00
"36"" HORZ BEND 45 12""R F",,2.00
"enduro horz bend 45 24""",,
" 6"" HORZ BEND 45 24""R F",,1.00
" 9"" HORZ BEND 45 24""R F",,1.00
"12"" HORZ BEND 45 24""R F",,1.50
"18"" HORZ BEND 45 24""R F",,2.00
"24"" HORZ BEND 45 24""R F",,2.00
"30"" HORZ BEND 45 24""R F",,2.00
"36"" HORZ BEND 45 24""R F",,2.00
"enduro horz bend 45 36""",,
" 6"" HORZ BEND 45 36""R F",,1.00
" 9"" HORZ BEND 45 36""R F",,1.00
"12"" HORZ BEND 45 36""R F",,1.00
"18"" HORZ BEND 45 36""R F",,2.00
"24"" HORZ BEND 45 36""R F",,2.00
"30"" HORZ BEND 45 36""R F",,2.00
"36"" HORZ BEND 45 36""R F",,2.00
enduro vert inside 45 d,,
" 6"" VERT INSIDE 45 DIRE",,1.00
" 9"" VERT INSIDE 45 DIRE",,1.00
"12"" VERT INSIDE 45 DIRE",,1.00
"18"" VERT INSIDE 45 DIRE",,2.00
"24"" VERT INSIDE 45 DIRE",,2.00
"30"" VERT INSIDE 45 DIRE",,2.00
"36"" VERT INSIDE 45 DIRE",,2.00
enduro vert outside 45 ,,
" 6"" VERT OUTSIDE 45 DIR",,1.00
" 9"" VERT OUTSIDE 45 DIR",,1.00
"12"" VERT OUTSIDE 45 DIR",,1.00
"18"" VERT OUTSIDE 45 DIR",,2.00
"24"" VERT OUTSIDE 45 DIR",,2.00
"30"" VERT OUTSIDE 45 DIR",,2.00
"36"" VERT OUTSIDE 45 DIR",,2.00
enduro horz bend adjust,,
" 6"" HORZ BEND ADJUST 45",,1.00
" 9"" HORZ BEND ADJUST 45",,1.00
"12"" HORZ BEND ADJUST 45",,1.00
"18"" HORZ BEND ADJUST 45",,2.00
"24"" HORZ BEND ADJUST 45",,2.00
"30"" HORZ BEND ADJUST 45",,2.00
"36"" HORZ BEND ADJUST 45",,2.00
enduro horz bend 90 dir,,
" 6"" HORZ BEND 90 DIRECT",,1.00
" 9"" HORZ BEND 90 DIRECT",,1.00
"12"" HORZ BEND 90 DIRECT",,1.00
"18"" HORZ BEND 90 DIRECT",,2.00
"24"" HORZ BEND 90 DIRECT",,2.00
"30"" HORZ BEND 90 DIRECT",,2.00
"36"" HORZ BEND 90 DIRECT",,2.00
enduro horz bend 45 dir,,
" 6"" HORZ BEND 45 DIRECT",,1.00
" 9"" HORZ BEND 45 DIRECT",,1.00
"12"" HORZ BEND 45 DIRECT",,1.00
"18"" HORZ BEND 45 DIRECT",,2.00
"24"" HORZ BEND 45 DIRECT",,2.00
"30"" HORZ BEND 45 DIRECT",,2.00
"36"" HORZ BEND 45 DIRECT",,2.00
enduro vert inside 90 1,,
" 6"" VERT INSIDE 90 12""R",,1.00
" 9"" VERT INSIDE 90 12""R",,1.00
"12"" VERT INSIDE 90 12""R",,1.00
"18"" VERT INSIDE 90 12""R",,2.00
"24"" VERT INSIDE 90 12""R",,2.00
"30"" VERT INSIDE 90 12""R",,2.00
"36"" VERT INSIDE 90 12""R",,2.00
enduro vert inside 90 2,,
" 6"" VERT INSIDE 90 24""R",,1.00
" 9"" VERT INSIDE 90 24""R",,1.00
"12"" VERT INSIDE 90 24""R",,1.00
"18"" VERT INSIDE 90 24""R",,2.00
"24"" VERT INSIDE 90 24""R",,2.00
"30"" VERT INSIDE 90 24""R",,2.00
"36"" VERT INSIDE 90 24""R",,2.00
enduro vert inside 90 3,,
" 6"" VERT INSIDE 90 36""R",,1.00
" 9"" VERT INSIDE 90 36""R",,1.00
"12"" VERT INSIDE 90 36""R",,1.00
"18"" VERT INSIDE 90 36""R",,2.00
"24"" VERT INSIDE 90 36""R",,2.00
"30"" VERT INSIDE 90 36""R",,2.00
"36"" VERT INSIDE 90 36""R",,2.00
enduro vert inside 45 1,,
" 6"" VERT INSIDE 45 12""R",,1.00
" 9"" VERT INSIDE 45 12""R",,1.00
"12"" VERT INSIDE 45 12""R",,1.00
"18"" VERT INSIDE 45 12""R",,2.00
"24"" VERT INSIDE 45 12""R",,2.00
"30"" VERT INSIDE 45 12""R",,2.00
"36"" VERT INSIDE 45 12""R",,2.00
enduro vert inside 45 2,,
" 6"" VERT INSIDE 45 24""R",,1.00
" 9"" VERT INSIDE 45 24""R",,1.00
"12"" VERT INSIDE 45 24""R",,1.50
"18"" VERT INSIDE 45 24""R",,2.00
"24"" VERT INSIDE 45 24""R",,2.00
"30"" VERT INSIDE 45 24""R",,2.00
"36"" VERT INSIDE 45 24""R",,2.00
enduro vert inside 45 3,,
" 6"" VERT INSIDE 45 36""R",,1.00
" 9"" VERT INSIDE 45 36""R",,1.00
"12"" VERT INSIDE 45 36""R",,1.00
"18"" VERT INSIDE 45 36""R",,2.00
"24"" VERT INSIDE 45 36""R",,2.00
"30"" VERT INSIDE 45 36""R",,2.00
"36"" VERT INSIDE 45 36""R",,2.00
enduro vert outside 90 ,,
" 6"" VERT OUTSIDE 90 12""",,1.00
" 9"" VERT OUTSIDE 90 12""",,1.00
"12"" VERT OUTSIDE 90 12""",,1.00
"18"" VERT OUTSIDE 90 12""",,2.00
"24"" VERT OUTSIDE 90 12""",,2.00
"30"" VERT OUTSIDE 90 12""",,2.00
"36"" VERT OUTSIDE 90 12""",,2.00
enduro vert outside 90 ,,
" 6"" VERT OUTSIDE 90 24""",,1.00
" 9"" VERT OUTSIDE 90 24""",,1.00
"12"" VERT OUTSIDE 90 24""",,1.00
"18"" VERT OUTSIDE 90 24""",,2.00
"24"" VERT OUTSIDE 90 24""",,2.00
"30"" VERT OUTSIDE 90 24""",,2.00
"36"" VERT OUTSIDE 90 24""",,2.00
enduro vert outside 90 ,,
" 6"" VERT OUTSIDE 90 36""",,1.00
" 9"" VERT OUTSIDE 90 36""",,1.00
"12"" VERT OUTSIDE 90 36""",,1.00
"18"" VERT OUTSIDE 90 36""",,2.00
"24"" VERT OUTSIDE 90 36""",,2.00
"30"" VERT OUTSIDE 90 36""",,2.00
"36"" VERT OUTSIDE 90 36""",,2.00
enduro vert outside 45 ,,
" 6"" VERT OUTSIDE 45 12""",,1.00
" 9"" VERT OUTSIDE 45 12""",,1.00
"12"" VERT OUTSIDE 45 12""",,1.00
"18"" VERT OUTSIDE 45 12""",,2.00
"24"" VERT OUTSIDE 45 12""",,2.00
"30"" VERT OUTSIDE 45 12""",,2.00
"36"" VERT OUTSIDE 45 12""",,2.00
enduro vert outside 45 ,,
" 6"" VERT OUTSIDE 45 24""",,1.00
" 9"" VERT OUTSIDE 45 24""",,1.00
"12"" VERT OUTSIDE 45 24""",,1.50
"18"" VERT OUTSIDE 45 24""",,2.00
"24"" VERT OUTSIDE 45 24""",,2.00
"30"" VERT OUTSIDE 45 24""",,2.00
"36"" VERT OUTSIDE 45 24""",,2.00
enduro vert outside 45 ,,
" 6"" VERT OUTSIDE 45 36""",,1.00
" 9"" VERT OUTSIDE 45 36""",,1.00
"12"" VERT OUTSIDE 45 36""",,1.00
"18"" VERT OUTSIDE 45 36""",,2.00
"24"" VERT OUTSIDE 45 36""",,2.00
"30"" VERT OUTSIDE 45 36""",,2.00
"36"" VERT OUTSIDE 45 36""",,2.00
"enduro horz cross 12""r ",,
" 6"" HORZ CROSS 12""R FRP",,1.50
" 9"" HORZ CROSS 12""R FRP",,1.50
"12"" HORZ CROSS 12""R FRP",,1.50
"18"" HORZ CROSS 12""R FRP",,4.00
"24"" HORZ CROSS 12""R FRP",,4.00
"30"" HORZ CROSS 12""R FRP",,4.00
"36"" HORZ CROSS 12""R FRP",,4.00
"enduro horz cross 24""r ",,
" 6"" HORZ CROSS 24""R FRP",,1.50
" 9"" HORZ CROSS 24""R FRP",,1.50
"12"" HORZ CROSS 24""R FRP",,1.50
"18"" HORZ CROSS 24""R FRP",,4.00
"24"" HORZ CROSS 24""R FRP",,4.00
"30"" HORZ CROSS 24""R FRP",,4.00
"36"" HORZ CROSS 24""R FRP",,4.00
"enduro horz cross 36""r ",,
" 6"" HORZ CROSS 36""R FRP",,1.50
" 9"" HORZ CROSS 36""R FRP",,1.50
"12"" HORZ CROSS 36""R FRP",,1.50
"18"" HORZ CROSS 36""R FRP",,4.00
"24"" HORZ CROSS 36""R FRP",,4.00
"30"" HORZ CROSS 36""R FRP",,4.00
"36"" HORZ CROSS 36""R FRP",,4.00
"enduro horz tee 12""r fr",,
" 6"" HORZ TEE 12""R FRP T",,1.50
" 9"" HORZ TEE 12""R FRP T",,1.50
"12"" HORZ TEE 12""R FRP T",,1.50
"18"" HORZ TEE 12""R FRP T",,3.00
"24"" HORZ TEE 12""R FRP T",,3.00
"30"" HORZ TEE 12""R FRP T",,3.00
"36"" HORZ TEE 12""R FRP T",,3.00
"enduro horz tee 24""r fr",,
" 6"" HORZ TEE 24""R FRP T",,1.50
" 9"" HORZ TEE 24""R FRP T",,1.50
"12"" HORZ TEE 24""R FRP T",,1.50
"18"" HORZ TEE 24""R FRP T",,3.00
"24"" HORZ TEE 24""R FRP T",,3.00
"30"" HORZ TEE 24""R FRP T",,3.00
"36"" HORZ TEE 24""R FRP T",,3.00
"enduro horz tee 36""r fr",,
" 6"" HORZ TEE 36""R FRP T",,1.50
" 9"" HORZ TEE 36""R FRP T",,1.50
"12"" HORZ TEE 36""R FRP T",,1.50
"18"" HORZ TEE 36""R FRP T",,3.00
"24"" HORZ TEE 36""R FRP T",,3.00
"30"" HORZ TEE 36""R FRP T",,3.00
"36"" HORZ TEE 36""R FRP T",,3.00
"enduro right reducer36""",,
"36""W-30""W RIGHT REDUCER",,2.00
"36""W-24""W RIGHT REDUCER",,2.00
"36""W-18""W RIGHT REDUCER",,2.00
"36""W-12""W RIGHT REDUCER",,2.00
"36""W-09""W RIGHT REDUCER",,2.00
"36""W-06""W RIGHT REDUCER",,2.00
"enduro right reducer30""",,
"30""W-24""W RIGHT REDUCER",,2.00
"30""W-18""W RIGHT REDUCER",,2.00
"30""W-12""W RIGHT REDUCER",,2.00
"30""W-09""W RIGHT REDUCER",,2.00
"30""W-06""W RIGHT REDUCER",,2.00
enduro right reducer 24,,
"24""W-18""W RIGHT REDUCER",,2.00
"24""W-12""W RIGHT REDUCER",,2.00
"24""W-09""W RIGHT REDUCER",,2.00
"24""W-06""W RIGHT REDUCER",,2.00
"enduro right reducer18""",,
"18""W-12""W RIGHT REDUCER",,2.00
"18""W-09""W RIGHT REDUCER",,2.00
"18""W-06""W RIGHT REDUCER",,2.00
"enduro right reducer12""",,
"12""W-09""W RIGHT REDUCER",,1.00
"12""W-06""W RIGHT REDUCER",,1.00
"enduro right reducer 9""",,
"09""W-06""W RIGHT REDUCER",,1.00
enduro frp solid channe,,
"2""W X1""D S FRP SOLID CH",,0.50
"3""W X1""D S FRP SOLID CH",,0.50
"4""W X1""D S FRP SOLID CH",,0.50
"6""W X1""D S FRP SOLID CH",,0.50
"8""W X1""D S FRP SOLID CH",,0.50
enduro frp vent channel,,
"2""W X1""D V FRP VENT CHA",,0.20
"3""W X1""D V FRP VENT CHA",,0.20
"4""W X1""D V FRP VENT CHA",,0.20
"6""W X3""D V FRP VENT CHA",,0.20
"8""W X1""D V FRP VENT CHA",,0.20
enduro vert inside 90 1,,
"2"" VERT INSIDE 90 12""R ",,0.50
"3"" VERT INSIDE 90 12""R ",,0.50
"4"" VERT INSIDE 90 12""R ",,0.50
"6"" VERT INSIDE 90 12""R ",,0.50
"8"" VERT INSIDE 90 12""R ",,0.50
enduro vert inside 90 2,,
"2"" VERT INSIDE 90 24""R ",,0.50
"3"" VERT INSIDE 90 24""R ",,0.50
"4"" VERT INSIDE 90 24""R ",,0.50
"6"" VERT INSIDE 90 24""R ",,0.50
"8"" VERT INSIDE 90 24""R ",,0.50
enduro vert outside 90 ,,
"2"" VERT OUTSIDE 90 12""R",,0.50
"3"" VERT OUTSIDE 90 12""R",,0.50
"4"" VERT OUTSIDE 90 12""R",,0.50
"6"" VERT OUTSIDE 90 12""R",,0.50
"8"" VERT OUTSIDE 90 12""R",,0.50
"12"" VERT OUTSIDE 90 12""",,2.00
"36"" VERT OUTSIDE 90 12R",,3.00
enduro vert outside 90 ,,
"2"" VERT OUTSIDE 90 24""R",,0.50
"3"" VERT OUTSIDE 90 24""R",,0.50
"4"" VERT OUTSIDE 90 24""R",,0.50
"6"" VERT OUTSIDE 90 24""R",,0.50
"8"" VERT OUTSIDE 90 24""R",,0.50
 enduro horz bend 90 12,,
" 2"" HORZ BEND 90 12""R F",,0.50
"3"" HORZ BEND 90 12""R FR",,0.50
"4"" HORZ BEND 90 12""R FR",,0.50
"6"" HORZ BEND 90 12""R FR",,0.50
"8"" HORZ BEND 90 12""R FR",,0.50
"12"" HORZ BEND 90 12""R F",,1.00
" 24"" HORZ BEND 90 12""R ",,2.00
"36"" HORZ BEND 90 12""R F",,3.00
"enduro horz bend 90 24""",,
"2"" HORZ BEND 90 24""R FR",,0.50
"3"" HORZ BEND 90 24""R FR",,0.50
"4"" HORZ BEND 90 24""R FR",,0.50
"6"" HORZ BEND 90 24""R FR",,0.50
"8"" HORZ BEND 90 24""R FR",,0.50
enduro stra splice plat,,
"3"" HIGH STRA SPLICE PLA",,0.10
"4"" HIGH STRA SPLICE PLA",,0.10
"6"" HIGH STRA SPLICE PLA",,0.10
"8"" HIGH STRA SPLICE PLA",,0.10
"10"" HIGH STRA SPLICE PL",,0.12
enduro exp splice plate,,
"3"" HIGH EXP SPLICE PLAT",,0.10
"4"" HIGH EXP SPLICE PLAT",,0.10
"6"" HIGH EXP SPLICE PLAT",,0.10
"8"" HIGH EXP SPLICE PLAT",,0.10
"10"" HIGH EXP SPLICE PLA",,0.10
enduro vert 90 splice p,,
"3""H VERT 90 SPLICE PLAT",,0.10
"4""H VERT 90 SPLICE PLAT",,0.10
"6""H VERT 90 SPLICE PLAT",,0.10
"8""H VERT 90 SPLICE PLAT",,0.10
"10""H VERT 90 SPLICE PLA",,0.10
enduro vert 45 splice p,,
"3""H VERT 45 SPLICE PLAT",,0.10
"4""H VERT 45 SPLICE PLAT",,0.10
"6""H VERT 45 SPLICE PLAT",,0.10
"8""H VERT 45 SPLICE PLAT",,0.10
"10""H VERT 45 SPLICE PLA",,0.10
enduro vert 30 splice p,,
"3""H VERT 30 SPLICE PLAT",,0.10
"4""H VERT 30 SPLICE PLAT",,0.10
"6""H VERT 30 SPLICE PLAT",,0.10
"8""H VERT 30 SPLICE PLAT",,0.10
"10""H VERT 30 SPLICE PLA",,0.10
enduro vert 22.5 splice,,
"3""H VERT 22.5 SPLICE PL",,0.10
"4""H VERT 22.5 SPLICE PL",,0.10
"6""H VERT 22.5 SPLICE PL",,0.10
"8""H VERT 22.5 SPLICE PL",,0.10
"10""H VERT 22.5 SPLICE P",,0.10
enduro horz 90 splice p,,
"3""H HORZ 90 SPLICE PLAT",,0.10
"4""H HORZ 90 SPLICE PLAT",,0.10
"6""H HORZ 90 SPLICE PLAT",,0.10
"8""H HORZ 90 SPLICE PLAT",,0.10
"10""H HORZ 90 SPLICE PLA",,0.10
enduro horz 45 splice p,,
"3""H HORZ 45 SPLICE PLAT",,0.10
"4""H HORZ 45 SPLICE PLAT",,0.10
"6""H HORZ 45 SPLICE PLAT",,0.10
"8""H HORZ 45 SPLICE PLAT",,0.10
"10""H HORZ 45 SPLICE PLA",,0.10
enduro horz 30 splice p,,
"3""H HORZ 30 SPLICE PLAT",,0.10
"4""H HORZ 30 SPLICE PLAT",,0.10
"6""H HORZ 30 SPLICE PLAT",,0.10
"8""H HORZ 30 SPLICE PLAT",,0.10
"10""H HORZ 30 SPLICE PLA",,0.10
enduro horz 22.5 splice,,
"3""H HORZ 22.5 SPLICE PL",,0.10
"4""H HORZ 22.5 SPLICE PL",,0.10
"6""H HORZ 22.5 SPLICE PL",,0.10
"8""H HORZ 22.5 SPLICE PL",,0.10
"10""H HORZ 22.5 SPLICE P",,0.10
"enduro left reducer 36""",,
"36""W-30""W  LEFT REDUCER",,2.00
"36""W-24""W  LEFT REDUCER",,2.00
"36""W-18""W  LEFT REDUCER",,2.00
"36""W-12""W  LEFT REDUCER",,2.00
"36""W-09""W  LEFT REDUCER",,2.00
"36""W-06""W  LEFT REDUCER",,2.00
"enduro left reducer 30""",,
"30""W-24""W  LEFT REDUCER",,2.00
"30""W-18""W  LEFT REDUCER",,2.00
"30""W-12""W  LEFT REDUCER",,2.00
"30""W-09""W  LEFT REDUCER",,2.00
"30""W-06""W  LEFT REDUCER",,2.00
"enduro left reducer 24""",,
"24""W-18""W  LEFT REDUCER",,2.00
"24""W-12""W  LEFT REDUCER",,2.00
"24""W-09""W  LEFT REDUCER",,2.00
"24""W-06""W  LEFT REDUCER",,2.00
"enduro left reducer 18""",,
"18""W-12""W  LEFT REDUCER",,2.00
"18""W-09""W  LEFT REDUCER",,2.00
"18""W-06""W  LEFT REDUCER",,2.00
"enduro left reducer 12""",,
"12""W-09""W  LEFT REDUCER",,1.00
"12""W-06""W  LEFT REDUCER",,1.00
"enduro left reducer 9""w",,
"09""W-06""W  LEFT REDUCER",,1.00
"enduro stra reducer 36""",,
"36""W-30""W  STRA REDUCER",,2.00
"36""W-24""W  STRA REDUCER",,2.00
"36""W-18""W  STRA REDUCER",,2.00
"36""W-12""W  STRA REDUCER",,2.00
"36""W-09""W  STRA REDUCER",,2.00
"36""W-06""W  STRA REDUCER",,2.00
"enduro stra reducer 30""",,
"30""W-24""W  STRA REDUCER",,2.00
"30""W-18""W  STRA REDUCER",,2.00
"30""W-12""W  STRA REDUCER",,2.00
"30""W-09""W  STRA REDUCER",,2.00
"30""W-06""W  STRA REDUCER",,2.00
"enduro stra reducer 24""",,
"24""W-18""W  STRA REDUCER",,2.00
"24""W-12""W  STRA REDUCER",,2.00
"24""W-09""W  STRA REDUCER",,2.00
"24""W-06""W  STRA REDUCER",,2.00
"enduro stra reducer 18""",,
"18""W-12""W  STRA REDUCER",,2.00
"18""W-09""W  STRA REDUCER",,2.00
"18""W-06""W  STRA REDUCER",,2.00
"enduro stra reducer 12""",,
"12""W-09""W  STRA REDUCER",,1.00
"12""W-06""W  STRA REDUCER",,1.00
"enduro stra reducer 9""w",,
"09""W-06""W  STRA REDUCER",,1.00
enduro stra splice plat,,
"3"" STRA SPLICE PLATE FR",,0.10
"4"" STRA SPLICE PLATE FR",,0.10
"6"" STRA SPLICE PLATE FR",,0.10
"8"" STRA SPLICE PLATE FR",,0.10
enduro exp splice plate,,
"3"" EXPANSION SPLICE PLA",,0.10
"4"" EXPANSION SPLICE PLA",,0.10
"6"" EXPANSION SPLICE PLA",,0.10
"8"" EXPANSION SPLICE PLA",,0.10
enduro vert 90 splice p,,
"3"" VERT 90 SPLICE PLATE",,0.10
"4"" VERT 90 SPLICE PLATE",,0.10
"6"" VERT 90 SPLICE PLATE",,0.10
"8"" VERT 90 SPLICE PLATE",,0.10
enduro vert 45 splice p,,
"3"" VERT 45 SPLICE PLATE",,0.10
"4"" VERT 45 SPLICE PLATE",,0.10
"6"" VERT 45 SPLICE PLATE",,0.10
"8"" VERT 45 SPLICE PLATE",,0.10
enduro vert 30 splice p,,
"3"" VERT 30 SPLICE PLATE",,0.10
"4"" VERT 30 SPLICE PLATE",,0.10
"6"" VERT 30 SPLICE PLATE",,0.10
"8"" VERT 30 SPLICE PLATE",,0.10
enduro vert 22.5 splice,,
"3"" VERT 22.5 SPLICE PLA",,0.10
"4"" VERT 22.5 SPLICE PLA",,0.10
"6"" VERT 22.5 SPLICE PLA",,0.10
"8"" VERT 22.5 SPLICE PLA",,0.10
enduro vert adj splice ,,
"3"" VERT ADJUST SPLICE P",,0.10
"4"" VERT ADJUST SPLICE P",,0.10
"6"" VERT ADJUST SPLICE P",,0.10
"8"" VERT ADJUST SPLICE P",,0.10
enduro horz 90 splice p,,
"3"" HORZ 90 SPLICE PLATE",,0.10
"4"" HORZ 90 SPLICE PLATE",,0.10
"6"" HORZ 90 SPLICE PLATE",,0.10
"8"" HORZ 90 SPLICE PLATE",,0.10
enduro horz 45 splice p,,
"3"" HORZ 45 SPLICE PLATE",,0.10
"4"" HORZ 45 SPLICE PLATE",,0.10
"6"" HORZ 45 SPLICE PLATE",,0.10
"8"" HORZ 45 SPLICE PLATE",,0.10
enduro holddown clips f,,
ENDURO FRP TRAY CLIPS,,0.30
ADJ. DIVIDER CLAMP ADC-,,0.10
ADJ. DIVIDER CLAMP ADC-,,0.10
DROP-OUT EDO-1 FRP TRAY,,0.50
DROP-OUT EDO-2 FRP TRAY,,0.50
HOLD DOWN CLIPS FRP TRA,,0.10
EXPANSION GUIDE FRP TRA,,0.10
enduro horz 30 splice p,,
"3"" HORZ 30 SPLICE PLATE",,0.10
"4"" HORZ 30 SPLICE PLATE",,0.10
"6"" HORZ 30 SPLICE PLATE",,0.10
"8"" HORZ 30 SPLICE PLATE",,0.10
enduro horz 22.5 splice,,
"3"" HORZ 22.5 SPLICE PLA",,0.10
"4"" HORZ 22.5 SPLICE PLA",,0.10
"6"" HORZ 22.5 SPLICE PLA",,0.10
"8"" HORZ 22.5 SPLICE PLA",,0.10
enduro horz adj splice ,,
"3"" HORZ ADJ SPLICE PLAT",,0.10
"4"" HORZ ADJ SPLICE PLAT",,0.10
"6"" HORZ ADJ SPLICE PLAT",,0.10
"8"" HORZ ADJ SPLICE PLAT",,0.10
enduro flat cover frp t,,
" 6""W FLAT COVER FRP TRA",,0.20
" 9""W FLAT COVER FRP TRA",,0.20
"12""W FLAT COVER FRP TRA",,0.20
"18""W FLAT COVER FRP TRA",,0.20
"24""W FLAT COVER FRP TRA",,0.20
"30""W FLAT COVER FRP TRA",,0.20
"36""W FLAT COVER FRP TRA",,0.20
" 6""W CLAMPLESS FLAT COV",,0.20
" 9""W CLAMPLESS FLAT COV",,0.20
"12""W CLAMPLESS FLAT COV",,0.20
"18""W CLAMPLESS FLAT COV",,0.20
"24""W CLAMPLESS FLAT COV",,0.20
"30""W CLAMPLESS FLAT COV",,0.20
"36""W CLAMPLESS FLAT COV",,0.20
enduro cover hold down ,,
"3"" COVER HOLD DOWN CLAM",,0.10
"4"" COVER HOLD DOWN CLAM",,0.10
"6"" COVER HOLD DOWN CLAM",,0.10
"8"" COVER HOLD DOWN CLAM",,0.10
"enduro 3""h blind end fr",,
"3""H 06""W BLIND END FRP ",,0.50
"3""H 09""W BLIND END FRP ",,0.50
"3""H12""W BLIND END FRP T",,0.50
"3""H18""W BLIND END FRP T",,0.50
"3""H 24""W BLIND END FRP ",,0.50
"3""H30""W BLIND END FRP T",,0.50
"3""H36""W BLIND END FRP T",,0.50
"enduro 4""h blind end fr",,
"4""H 06""W BLIND END FRP ",,0.50
"4""H 09""W BLIND END FRP ",,0.50
"4""H12""W BLIND END FRP T",,0.50
"4""H18""W BLIND END FRP T",,0.50
"4""H 24""W BLIND END FRP ",,0.50
"4""H30""W BLIND END FRP T",,0.50
"4""H36""W BLIND END FRP T",,0.50
"enduro 6""h blind end fr",,
"6""H 06""W BLIND END FRP ",,0.50
"6""H 09""W BLIND END FRP ",,0.50
"6""H12""W BLIND END FRP T",,0.50
"6""H18""W BLIND END FRP T",,0.50
"6""H 24""W BLIND END FRP ",,0.50
"6""H30""W BLIND END FRP T",,0.50
"6""H36""W BLIND END FRP T",,0.50
"enduro 8""h blind end fr",,
"8""H 06""W BLIND END FRP ",,0.50
"8""H 09""W BLIND END FRP ",,0.50
"8""H12""W BLIND END FRP T",,0.50
"8""H18""W BLIND END FRP T",,0.50
"8""H 24""W BLIND END FRP ",,0.50
"8""H30""W BLIND END FRP T",,0.50
"8""H36""W BLIND END FRP T",,0.50
enduro floor/panel flan,,
"3"" FLOOR/PANEL FLANGE F",,0.50
"4"" FLOOR/PANEL FLANGE F",,0.50
"6"" FLOOR/PANEL FLANGE F",,0.50
"8"" FLOOR/PANEL FLANGE F",,0.50
steel cable tray,,
cable tray steel,,
" 6"" STRAIGHT TRAY",,0.09
" 9"" STRAIGHT TRAY",,0.0975
"12"" STRAIGHT TRAY",,0.105
"14"" STRAIGHT TRAY",,0.1053
"16"" STRAIGHT TRAY ",,0.1057
"18"" STRAIGHT TRAY ",,0.11
"24"" STRAIGHT TRAY ",,0.115
"30"" STRAIGHT TRAY ",,0.125
"36"" STRAIGHT TRAY ",,0.14
"42""STRAIGHT TRAY ",,0.16
tray reducer horz tee 4,,
"42""W-36""W REDUCER HORZ ",,3.00
"42""W-30""W REDUCER HORZ ",,3.00
"42""W-24""W REDUCER HORZ ",,3.00
"42""W-18""W REDUCER HORZ ",,3.00
"42""W-12""W REDUCER HORZ ",,3.00
"42""W-09""W REDUCER HORZ ",,3.00
"42""W-06""W REDUCER HORZ ",,3.00
tray reducer horz tee 3,,
"36""W-30""W REDUCER HORZ ",,3.00
"36""W-24""W REDUCER HORZ ",,3.00
"36""W-18""W REDUCER HORZ ",,3.00
"36""W-12""W REDUCER HORZ ",,3.00
"36""W-09""W REDUCER HORZ ",,3.00
"36""W-06""W REDUCER HORZ ",,3.00
tray reducer horz tee 3,,
"30""W-24""W REDUCER HORZ ",,3.00
" 30""W-18""W REDUCER HORZ",,3.00
