Item Name,Price Per foot or Unit,Bid Labor Per Foot or Unit
  16 TFFN CU Wire,0.93788,0.003
al thhn stranded 90deg,,
6 THHN BLK STR AL WIRE ,0.79938,0.005
4 THHN BLK STR AL WIRE ,0.98749,0.006
3 THHN BLK STR AL WIRE ,,0.009
2 THHN BLK STR AL WIRE ,1.2529,0.007
1 THHN BLK STR AL WIRE ,1.72664,0.008
1/0 THHN BLK STR AL WIR,1.93914,0.009
2/0 THHN BLK STR AL WIR,2.2917,0.01
3/0 THHN BLK STR AL WIR,2.84524,0.011
4/0 THHN BLK STR AL WIR,3.16256,0.012
250MCM THHN BLK STR AL ,3.86064,0.014
300MCM THHN B.STR AL WI,5.33439,0.016
350MCM THHN B.STR AL WI,5.42253,0.018
400MCM THHN B. STR AL W,6.33921,0.022
500MCM THHN B.STR AL WI,6.99148,0.026
600MCM THHN BSTR AL WIR,8.8601,0.032
700MCM THHN B. STR AL W,10.22807,0.042
750MCM THHN B. STR AL W,10.33384,0.042
1000MCM THHN B.STR AL W,15.38265,0.054
al xhhw stranded 90deg,,
   6 XHHW AL STRANDED 6,0.8157,0.005
   4 XHHW AL STRANDED 7,1.00764,0.006
   3 XHHW AL STRANDED 8,,0.009
   2 XHHW AL STRANDED 1,1.27847,0.007
   1 XHHW AL STRANDED 1,1.76189,0.008
 1/0 XHHW AL STRANDED 1,1.97872,0.009
 2/0 XHHW AL STRANDED 1,2.33847,0.01
 3/0 XHHW AL STRANDED 1,2.90331,0.011
 4/0 XHHW AL STRANDED 2,3.22711,0.012
 250 XHHW AL STRANDED 2,3.93944,0.014
 300 XHHW AL STRANDED 2,5.44326,0.016
 350 XHHW AL STRANDED 2,5.53319,0.018
 400 XHHW AL STRANDED 3,6.4686,0.022
 500 XHHW AL STRANDED 3,7.13416,0.026
 600 XHHW AL STRANDED 3,9.04092,0.032
 750 XHHW AL STRANDED 4,10.54474,0.042
1000 XHHW AL STRANDED 5,15.69658,0.054
al use rhh rhw stranded,,
6 USE RHH RHW BLK STR A,1.03004,0.005
4 USE RHH RHW BLK STR A,1.18364,0.006
3 USE RHH RHW BLK STR A,,0.009
2 USE RHH RHW BLK STR A,1.53137,0.007
1 USE RHH RHW BLK STR A,1.99607,0.008
1/0 USE RHH RHW STR AL ,2.3064,0.009
2/0 USE RHH RHW STR AL ,2.70882,0.01
3/0 USE RHH RHW STR AL ,3.27576,0.011
4/0 USE RHH RHW STR AL ,3.64356,0.012
250MCM USE RHH RHW STR ,4.81031,0.014
300MCM USE RHH RHW STR ,6.24855,0.016
350MCM USE RHH RHW STR ,6.39015,0.018
400MCM USE RHH RHW STR ,7.8023,0.022
500MCM USE RHH RHW STR ,8.58105,0.026
600MCM USE RHH RHW STR ,,0.026
700MCM USE RHH RHW STR ,,0.026
750MCM USE RHH RHW STR ,12.81009,0.0042
1000MCM USE RHH RHW STR,,0.046
uf cable,,
uf-b w/grd cu cable,,
14/2 UF B W/ GND CU 250,4.16196,0.015
12/2 UF B W/ GND CU 250,6.30592,0.018
10/2 UF B W/ GND CU 250,10.20842,0.019
8/2 UF B W/ GND CU 250R,17.83866,0.021
14/3 UF B W/ GND CU 250,5.84564,0.018
12/3 UF B W/ GND CU 250,8.79714,0.019
10/3 UF B W/ GND CU 250,13.7681,0.022
8/3 UF B W/ GND CU 50CN,26.33176,0.024
6/3 UF B W/ GND CU 50CN,43.35827,0.028
uf-nmcb w/grd cu cable,,
14/2 UF NMCB CU W/ GND ,4.02394,0.015
12/2 UF NMCB CU W/ GND ,6.16782,0.018
10/2 UF NMCB CU W/ GND ,10.0704,0.019
8/2 UF NMCB CU W/ GND 1,17.83866,0.021
6/2 UF NMCB CU W/ GND 1,27.85924,0.025
14/3 UF NMCB CU W/ GND ,5.7076,0.018
12/3 UF NMCB CU W/ GND ,8.65912,0.019
10/3 UF NMCB CU W/ GND ,13.7681,0.022
8/3 UF NMCB CU W/ GND 1,26.33176,0.024
6/3 UF NMCB CU W/ GND 1,43.35827,0.028
uf connectors,,
1/2 W-T CONN-UF,33.652,0.06
3/4 W-T CONN-UF,22.3188,0.075
arlington mtl uf connec,,
"UF50 1/2"" MTL UF CONN",6.6998,0.06
"UF75 3/4"" MTL UF CONN",7.1832,0.075
arlington non-mtl uf co,,
"NMUF50 1/2"" NON-MTL UF ",7.5541,0.06
"NMUF75 3/4"" NON-MTL UF ",6.2391,0.075
cu romex nm-b cable,,
rope,,
romex nm-b cable,,
14/2 NM-B ROMEX W/GRD C,3.66824,0.015
12/2 NM-B ROMEX W/GRD C,5.43358,0.018
10/2 NM-B ROMEX W/GRD C,9.48068,0.019
 8/2 NM-B ROMEX W/GRD C,16.15986,0.021
 6/2 NM-B ROMEX W/GRD C,25.35871,0.025
14/3 NM-B ROMEX W/GRD C,4.88478,0.018
12/3 NM-B ROMEX W/GRD C,7.45448,0.019
10/3 NM-B ROMEX W/GRD C,11.94304,0.022
 8/3 NM-B ROMEX W/GRD C,22.74994,0.024
 6/3 NM-B ROMEX W/GRD C,36.94111,0.028
 4/3 NM-B ROMEX W/GRD C,92.11942,0.032
 2/3 NM-B ROMEX W/GRD C,138.09724,0.035
14/4 NM-B ROMEX W/GRD C,7.2337,0.019
12/4 NM-B ROMEX W/GRD C,11.15738,0.023
10/4 NM-B ROMEX W/GRD C,17.28172,0.024
romex connectors bridge,,
"ROMEX CONNECTOR 3/8"" 2 ",1.2864,0.03
"ROMEX CONNECTOR 3/4"" 2 ",3.284,0.03
"ROMEX CONNECTOR 1"" 2 SC",5.8477,0.03
"ROMEX CONNECTOR 1 1/4"" ",8.6098,0.03
"ROMEX CONNECTOR 1 1/2"" ",13.8622,0.03
"ROMEX CONNECTOR 2"" 2 SC",16.68,0.03
arlington romex connect,,
NM94 PLASTIC PUSH-IN CO,0.2105,0.03
NM840 PLASTIC PUSH-IN C,0.4088,0.03
"3/8"" NM/MC SNAP-IN CONN",1.1906,0.03
"3/8"" NM CABLE CONNECTOR",1.3194,0.03
"3/8"" NM/MC CABLE CONNEC",1.455,0.03
3/4 NM/SE CABLE CONNECT,3.4528,0.05
1  NM/SE CABLE CONNECTO,5.2245,0.055
1-1/4  NM/SE CABLE CONN,8.1055,0.07
1-1/2  NM/SE CABLE CONN,12.6328,0.075
2  NM/SE CABLE CONNECTO,15.6604,0.1
arlington cable support,,
CS4 CABLE SUPPORT BULK,0.3438,0.03
CS7 UNVERSAL CABLE SUPP,0.4021,0.03
CS6 CABLE SUPPORT,0.7433,0.03
CS60 CABLE SUPPORT,1.5954,0.03
CS2 CABLE SUPPORT W/NAI,0.5429,0.03
CS20 CABLE SUPPORT W/NA,0.5617,0.03
CS20SC CABLE SUPPORT W/,0.7155,0.05
romex staples,,
    1 ROMEX STAPLE,0.02016,0.00
1 1/4 ROMEX STAPLE,0.03236,0.00
cu seu cable,,
SEU-3-3-5-CU-150CL,53.24402,0.04
SEU-2-2-4-CU-100CL,61.71036,0.044
SEU-4-4-4-CU-150CL,45.65918,0.04
SEU-3-3-3-CU-150CL,56.97173,0.05
SEU-2-2-2-CU-100CL,71.07491,0.054
SEU-1-1-1-CU-100CL,91.35038,0.056
SEU-1/0-1/0-1/0-CU-500R,86.14613,0.057
SEU-2/0-2/0-2/0-CU-500R,141.59502,0.063
SEU-3/0-3/0-3/0-CU-500R,182.63769,0.07
SEU-4/0-4/0-4/0-CU-500R,204.18889,0.078
al seu cable,,
SEU-8-8-8-AL-250CL,3.26402,0.019
SEU-6-6-6-AL-250CL,3.36259,0.022
SEU-4-4-6-AL-200CL,3.94902,0.028
SEU-4-4-4-AL-200CL,4.31321,0.029
SEU-2-2-4-AL-200CL,5.17149,0.03
SEU-2-2-2-AL-200CL,5.63448,0.031
SEU-1-1-1-AL-150CL,7.63455,0.032
SEU-1/0-1/0-2-AL-150CL,7.64217,0.034
SEU-1/0-1/0-1/0-AL-150C,8.02318,0.035
SEU-2/0-2/0-1-AL-150CL,8.6164,0.036
SEU-2/0-2/0-2/0-AL-150C,9.21824,0.038
SEU-3/0-3/0-3/0-AL-150C,10.98457,0.042
SEU-4/0-4/0-2/0-AL-100C,11.88109,0.046
SEU-4/0-4/0-4/0-AL-100C,12.90291,0.052
al ser w grnd cable,,
  8-3 SER W/GRND ALUM,3.73746,0.022
  6-3 SER W/GRND ALUM,4.23128,0.028
  4-3 SER W/GRND ALUM,5.21348,0.03
  2-3 SER W/GRND ALUM,6.98566,0.032
  1-3 SER W/GRND ALUM,9.0922,0.035
1/0-3 SER W/GRND ALUM,9.89702,0.04
2/0-3 SER W/GRND ALUM,11.98447,0.044
3/0-3 SER W/GRND ALUM,14.7813,0.048
