Report Name:,,,,,Assemblies & Byproducts  (Permanent),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Assemblies+ByProducts,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,620",2 1/2 EMT 90 ELBOW,,,,1.00,,,0.00,,"$7,835.40",,,C,17.00,,C,,,,
,"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,2.00,,,0.00,,$13.27,,,C,0.00,,X,,,,
,"5,980",3/8 MACHINE BOLT ANCH,,,,2.00,,,0.00,,$24.56,,,C,16.00,,C,,,,
,"2,039",2 1/2 EMT 2 HOLE STP/ST,,,,1.00,,,0.00,,$208.21,,,C,4.00,,C,,,,
,"5,911","3/8"" FLAT STEEL WASHER",,,,2.00,,,0.00,,$122.10,,,C,0.00,,X,,,,
,"1,821",2 1/2 EMT COUPL S/C,,,,1.00,,,0.00,,"$3,196.80",,,C,13.00,,C,,,,
,"2,982",,2 1/2 EMT 90   S/C BC/MINER,,,,$119.16, ,,0.635,, ,$122.86,,, ,,$138.21,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,620",2 1/2 EMT 90 ELBOW,,,,1.00,,,0.00,,"$7,835.40",,,C,17.00,,C,,,,
,"7,632",5/16-18 APP BEAM CLAMP,,,,1.00,,,0.00,,$684.00,,,C,20.00,,C,,,,
,"1,821",2 1/2 EMT COUPL S/C,,,,1.00,,,0.00,,"$3,196.80",,,C,13.00,,C,,,,
,"5,710",5/16-18 X 1/2 CAP SCREW,,,,1.00,,,0.00,,$6.36,,,C,0.00,,X,,,,
,"7,662",2-1/2  COND HGR W/BOLT,,,,1.00,,,0.00,,$193.14,,,C,13.50,,C,,,,
,"2,983",,2 1/2 EMT 90   S/C  RACK,,,,$114.02, ,,0.400,, ,$110.58,,, ,,$124.41,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,620",2 1/2 EMT 90 ELBOW,,,,1.00,,,0.00,,"$7,835.40",,,C,17.00,,C,,,,
,"1,821",2 1/2 EMT COUPL S/C,,,,1.00,,,0.00,,"$3,196.80",,,C,13.00,,C,,,,
,"2,051",2 1/2 EMT CHNL STRAP W/,,,,1.00,,,0.00,,$369.61,,,C,10.00,,C,,,,
,"2,984",,2 1/2 GRNDG BUSH'G,,,,$36.15, ,,0.263,, ,$39.63,,, ,,$44.58,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,721",2 1/2 BUSH INSUL MAL GR,,,,1.00,,,0.00,,"$3,614.55",,,C,26.28,,C,,,,
,,,,,,,,,,,,,,,,,,,,,
,"2,985",,2 1/2 LB CONDULET,,,,$213.13, ,,1.120,, ,$219.22,,, ,,$246.62,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"3,820",2 1/2 GRC LB BODY,,,,1.00,,,0.00,,$147.55,,,E,0.80,,E,,,,
,"1,689",2 1/2 EMT CONN D/S,,,,2.00,,,0.00,,"$1,587.62",,,C,16.00,,C,,,,
,"4,102",2 1/2 - 3  GRC FLAT COV,,,,1.00,,,0.00,,$26.80,,,E,0.00,,X,,,,
,"4,111",2IN COND BDY NEO GASK,,,,1.00,,,0.00,,$7.03,,,E,0.00,,X,,,,
,"2,986",,2 1/2 T CONDULET,,,,$305.56, ,,1.220,, ,$301.33,,, ,,$339.00,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,111",2IN COND BDY NEO GASK,,,,1.00,,,0.00,,$7.03,,,E,0.00,,X,,,,
,"3,832",2 1/2 GRC T BODY,,,,1.00,,,0.00,,$220.60,,,E,0.90,,E,,,,
,"1,761",2 1/2 EMT CONN S/C,,,,2.00,,,0.00,,"$2,557.20",,,C,16.00,,C,,,,
,"4,102",2 1/2 - 3  GRC FLAT COV,,,,1.00,,,0.00,,$26.80,,,E,0.00,,X,,,,
,"2,987",,2 1/2 CHASE NIPPLE,,,,$112.08, ,,0.453,, ,$110.72,,, ,,$124.56,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,662",2 1/2 BUSH PLASTIC,,,,1.00,,,0.00,,"$1,191.98",,,C,10.90,,C,,,,
,"4,592",2 1/2 LOCKNUT,,,,1.00,,,0.00,,"$1,031.33",,,C,22.42,,C,,,,
,"4,960",2 1/2 CHASE NIPPLE,,,,1.00,,,0.00,,"$8,984.88",,,C,12.00,,C,,,,
,"2,989",,emt 3 s/c misc,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"2,990",,    3 EMT CONN S/C,,,,$47.81, ,,0.303,, ,$50.91,,, ,,$57.28,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,663",    3 BUSH PLASTIC,,,,1.00,,,0.00,,"$1,249.06",,,C,12.30,,C,,,,
,"1,762",    3 EMT CONN S/C,,,,1.00,,,0.00,,"$3,531.60",,,C,18.00,,C,,,,
,"2,991",,    3 EMT COUPL S/C,,,,$39.92, ,,0.150,, ,$39.06,,, ,,$43.94,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,822",    3 EMT COUPL S/C,,,,1.00,,,0.00,,"$3,992.40",,,C,15.00,,C,,,,
,,,,,,,,,,,,,,,,,,,,,
,"2,992",,    3 EMT CONN S/C/I,,,,$55.61, ,,0.180,, ,$53.43,,, ,,$60.10,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,774",    3 EMT CONN S/C/I,,,,1.00,,,0.00,,"$5,560.80",,,C,18.00,,C,,,,
,,,,,,,,,,,,,,,,,,,,,
,"2,993",,    3 EMT BEND STRAP,,,,$35.25, ,,0.510,, ,$47.17,,, ,,$53.06,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,040",    3 EMT 2 HOLE STP/ST,,,,1.00,,,0.00,,$273.46,,,C,4.00,,C,,,,
,"6,070",HEX LAG BLT 3/8X1-1/4,,,,2.00,,,0.00,,"$1,503.60",,,C,7.00,,C,,,,
,"1,678",    3 EMT BEND,,,,1.00,,,0.00,,$0.00,,,X,33.00,,C,,,,
,"5,911","3/8"" FLAT STEEL WASHER",,,,2.00,,,0.00,,$122.10,,,C,0.00,,X,,,,
,"2,994",,    3 EMT BEND  CONCRETE,,,,$5.93, ,,0.690,, ,$28.24,,, ,,$31.77,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,040",    3 EMT 2 HOLE STP/ST,,,,1.00,,,0.00,,$273.46,,,C,4.00,,C,,,,
,"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,2.00,,,0.00,,$13.27,,,C,0.00,,X,,,,
,"5,980",3/8 MACHINE BOLT ANCH,,,,2.00,,,0.00,,$24.56,,,C,16.00,,C,,,,
,"1,678",    3 EMT BEND,,,,1.00,,,0.00,,$0.00,,,X,33.00,,C,,,,
,"5,911","3/8"" FLAT STEEL WASHER",,,,2.00,,,0.00,,$122.10,,,C,0.00,,X,,,,
,"2,995",,    3 EMT BEND BC/MINERALLA,,,,$12.25, ,,0.688,, ,$33.54,,, ,,$37.73,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,633",3/8-16  APP BEAM CLAMP,,,,1.00,,,0.00,,$963.60,,,C,22.00,,C,,,,
,"5,716",3/8-16 X 3/4 CAP SCREW,,,,1.00,,,0.00,,$10.43,,,C,0.00,,X,,,,
,"1,678",    3 EMT BEND,,,,1.00,,,0.00,,$0.00,,,X,33.00,,C,,,,
,"7,663",    3 COND HGR W/BOLT,,,,1.00,,,0.00,,$251.29,,,C,13.75,,C,,,,
,"2,996",,    3 EMT BEND  RACK,,,,$4.05, ,,0.430,, ,$17.90,,, ,,$20.14,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,678",    3 EMT BEND,,,,1.00,,,0.00,,$0.00,,,X,33.00,,C,,,,
,"2,052",    3 EMT CHNL STRAP W/,,,,1.00,,,0.00,,$405.20,,,C,10.00,,C,,,,
,"2,997",,    3 EMT 90   S/C STRAP,,,,$197.57, ,,0.520,, ,$185.80,,, ,,$209.02,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,040",    3 EMT 2 HOLE STP/ST,,,,1.00,,,0.00,,$273.46,,,C,4.00,,C,,,,
,"6,070",HEX LAG BLT 3/8X1-1/4,,,,2.00,,,0.00,,"$1,503.60",,,C,7.00,,C,,,,
,"1,621",    3 EMT 90 ELBOW,,,,1.00,,,0.00,,"$12,239.40",,,C,19.00,,C,,,,
,"1,822",    3 EMT COUPL S/C,,,,1.00,,,0.00,,"$3,992.40",,,C,15.00,,C,,,,
,"5,911","3/8"" FLAT STEEL WASHER",,,,2.00,,,0.00,,$122.10,,,C,0.00,,X,,,,
,"2,998",,    3 EMT 90   S/C  CONCRET,,,,$168.25, ,,0.700,, ,$166.87,,, ,,$187.73,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,040",    3 EMT 2 HOLE STP/ST,,,,1.00,,,0.00,,$273.46,,,C,4.00,,C,,,,
,"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,2.00,,,0.00,,$13.27,,,C,0.00,,X,,,,
,"5,980",3/8 MACHINE BOLT ANCH,,,,2.00,,,0.00,,$24.56,,,C,16.00,,C,,,,
,"1,822",    3 EMT COUPL S/C,,,,1.00,,,0.00,,"$3,992.40",,,C,15.00,,C,,,,
,"5,911","3/8"" FLAT STEEL WASHER",,,,2.00,,,0.00,,$122.10,,,C,0.00,,X,,,,
,"1,621",    3 EMT 90 ELBOW,,,,1.00,,,0.00,,"$12,239.40",,,C,19.00,,C,,,,
,"2,999",,    3 EMT 90   S/C BC/MINER,,,,$174.57, ,,0.698,, ,$172.17,,, ,,$193.69,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,633",3/8-16  APP BEAM CLAMP,,,,1.00,,,0.00,,$963.60,,,C,22.00,,C,,,,
,"5,716",3/8-16 X 3/4 CAP SCREW,,,,1.00,,,0.00,,$10.43,,,C,0.00,,X,,,,
,"1,621",    3 EMT 90 ELBOW,,,,1.00,,,0.00,,"$12,239.40",,,C,19.00,,C,,,,
,"7,663",    3 COND HGR W/BOLT,,,,1.00,,,0.00,,$251.29,,,C,13.75,,C,,,,
,"1,822",    3 EMT COUPL S/C,,,,1.00,,,0.00,,"$3,992.40",,,C,15.00,,C,,,,
,"3,000",,    3 EMT 90   S/C  RACK,,,,$166.37, ,,0.440,, ,$156.53,,, ,,$176.10,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,822",    3 EMT COUPL S/C,,,,1.00,,,0.00,,"$3,992.40",,,C,15.00,,C,,,,
,"2,052",    3 EMT CHNL STRAP W/,,,,1.00,,,0.00,,$405.20,,,C,10.00,,C,,,,
,"1,621",    3 EMT 90 ELBOW,,,,1.00,,,0.00,,"$12,239.40",,,C,19.00,,C,,,,
,"3,001",,    3 GRNDG BUSH'G,,,,$51.49, ,,0.310,, ,$54.29,,, ,,$61.07,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,722",    3 BUSH INSUL MAL GR,,,,1.00,,,0.00,,"$5,149.13",,,C,31.00,,C,,,,
,,,,,,,,,,,,,,,,,,,,,
,"3,002",,    3 LB CONDULET,,,,$267.77, ,,1.460,, ,$277.20,,, ,,$311.85,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,690",    3 EMT CONN D/S,,,,2.00,,,0.00,,"$1,916.93",,,C,18.00,,C,,,,
,"4,111",2IN COND BDY NEO GASK,,,,1.00,,,0.00,,$7.03,,,E,0.00,,X,,,,
,"3,821",    3 GRC LB BODY,,,,1.00,,,0.00,,$195.61,,,E,1.10,,E,,,,
,"4,102",2 1/2 - 3  GRC FLAT COV,,,,1.00,,,0.00,,$26.80,,,E,0.00,,X,,,,
,"3,003",,    3 T CONDULET,,,,$425.89, ,,1.560,, ,$415.28,,, ,,$467.19,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"3,833",    3 GRC T BODY,,,,1.00,,,0.00,,$321.44,,,E,1.20,,E,,,,
,"4,102",2 1/2 - 3  GRC FLAT COV,,,,1.00,,,0.00,,$26.80,,,E,0.00,,X,,,,
,"1,762",    3 EMT CONN S/C,,,,2.00,,,0.00,,"$3,531.60",,,C,18.00,,C,,,,
,"4,111",2IN COND BDY NEO GASK,,,,1.00,,,0.00,,$7.03,,,E,0.00,,X,,,,
,"3,004",,    3 CHASE NIPPLE,,,,$71.44, ,,0.528,, ,$78.61,,, ,,$88.44,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,663",    3 BUSH PLASTIC,,,,1.00,,,0.00,,"$1,249.06",,,C,12.30,,C,,,,
,"4,593",    3 LOCKNUT,,,,1.00,,,0.00,,"$1,313.60",,,C,27.50,,C,,,,
,"4,961",    3 CHASE NIPPLE,,,,1.00,,,0.00,,"$4,581.64",,,C,13.00,,C,,,,
,"3,006",,emt 3 1/2 s/c misc,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"3,007",,3 1/2 EMT CONN S/C,,,,$72.93, ,,0.344,, ,$73.69,,, ,,$82.91,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,664",3 1/2 BUSH PLASTIC,,,,1.00,,,0.00,,"$1,965.00",,,C,14.40,,C,,,,
,"1,763",3 1/2 EMT CONN S/C,,,,1.00,,,0.00,,"$5,328.00",,,C,20.00,,C,,,,
,"3,008",,3 1/2 EMT COUPL S/C,,,,$63.01, ,,0.180,, ,$59.73,,, ,,$67.20,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,823",3 1/2 EMT COUPL S/C,,,,1.00,,,0.00,,"$6,300.60",,,C,18.00,,C,,,,
,,,,,,,,,,,,,,,,,,,,,
,"3,009",,3 1/2 EMT CONN S/C/I,,,,$81.31, ,,0.200,, ,$75.99,,, ,,$85.49,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,775",3 1/2 EMT CONN S/C/I,,,,1.00,,,0.00,,"$8,130.60",,,C,20.00,,C,,,,
,,,,,,,,,,,,,,,,,,,,,
,"3,010",,3 1/2 EMT BEND STRAP,,,,$42.32, ,,0.560,, ,$54.87,,, ,,$61.73,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"6,070",HEX LAG BLT 3/8X1-1/4,,,,2.00,,,0.00,,"$1,503.60",,,C,7.00,,C,,,,
,"2,041",3 1/2 EMT 2 HOLE STP/ST,,,,1.00,,,0.00,,$980.10,,,C,5.00,,C,,,,
,"5,911","3/8"" FLAT STEEL WASHER",,,,2.00,,,0.00,,$122.10,,,C,0.00,,X,,,,
,"1,679",3 1/2 EMT BEND,,,,1.00,,,0.00,,$0.00,,,X,37.00,,C,,,,
,"3,011",,3 1/2 EMT BEND CONCRETE,,,,$13.00, ,,0.740,, ,$35.94,,, ,,$40.43,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,2.00,,,0.00,,$13.27,,,C,0.00,,X,,,,
,"5,980",3/8 MACHINE BOLT ANCH,,,,2.00,,,0.00,,$24.56,,,C,16.00,,C,,,,
,"2,041",3 1/2 EMT 2 HOLE STP/ST,,,,1.00,,,0.00,,$980.10,,,C,5.00,,C,,,,
,"5,911","3/8"" FLAT STEEL WASHER",,,,2.00,,,0.00,,$122.10,,,C,0.00,,X,,,,
,"1,679",3 1/2 EMT BEND,,,,1.00,,,0.00,,$0.00,,,X,37.00,,C,,,,
,"3,012",,3 1/2 EMT BEND BC/MINERALLA,,,,$12.72, ,,0.735,, ,$35.53,,, ,,$39.97,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,633",3/8-16  APP BEAM CLAMP,,,,1.00,,,0.00,,$963.60,,,C,22.00,,C,,,,
,"5,716",3/8-16 X 3/4 CAP SCREW,,,,1.00,,,0.00,,$10.43,,,C,0.00,,X,,,,
,"1,679",3 1/2 EMT BEND,,,,1.00,,,0.00,,$0.00,,,X,37.00,,C,,,,
,"7,664",3-1/2  COND HGR W/BOLT,,,,1.00,,,0.00,,$297.62,,,C,14.50,,C,,,,
,"3,013",,3 1/2 EMT BEND RACK,,,,$4.34, ,,0.470,, ,$19.49,,, ,,$21.93,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,679",3 1/2 EMT BEND,,,,1.00,,,0.00,,$0.00,,,X,37.00,,C,,,,
,"2,053",3 1/2 EMT CHNL STRAP W/,,,,1.00,,,0.00,,$434.21,,,C,10.00,,C,,,,
,"3,014",,3 1/2 EMT 90   S/C STRAP,,,,$261.91, ,,0.580,, ,$242.63,,, ,,$272.96,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,823",3 1/2 EMT COUPL S/C,,,,1.00,,,0.00,,"$6,300.60",,,C,18.00,,C,,,,
,"6,070",HEX LAG BLT 3/8X1-1/4,,,,2.00,,,0.00,,"$1,503.60",,,C,7.00,,C,,,,
,"1,622",3 1/2 EMT 90 ELBOW,,,,1.00,,,0.00,,"$15,658.80",,,C,21.00,,C,,,,
,"2,041",3 1/2 EMT 2 HOLE STP/ST,,,,1.00,,,0.00,,$980.10,,,C,5.00,,C,,,,
,"5,911","3/8"" FLAT STEEL WASHER",,,,2.00,,,0.00,,$122.10,,,C,0.00,,X,,,,
,"3,015",,3 1/2 EMT 90   S/C CONCRETE,,,,$232.59, ,,0.760,, ,$223.71,,, ,,$251.67,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,718",3/8-16 X 1-1/2 CAP SCRE,,,,2.00,,,0.00,,$13.27,,,C,0.00,,X,,,,
,"5,980",3/8 MACHINE BOLT ANCH,,,,2.00,,,0.00,,$24.56,,,C,16.00,,C,,,,
,"1,823",3 1/2 EMT COUPL S/C,,,,1.00,,,0.00,,"$6,300.60",,,C,18.00,,C,,,,
,"1,622",3 1/2 EMT 90 ELBOW,,,,1.00,,,0.00,,"$15,658.80",,,C,21.00,,C,,,,
,"2,041",3 1/2 EMT 2 HOLE STP/ST,,,,1.00,,,0.00,,$980.10,,,C,5.00,,C,,,,
,"5,911","3/8"" FLAT STEEL WASHER",,,,2.00,,,0.00,,$122.10,,,C,0.00,,X,,,,
,"3,016",,3 1/2 EMT 90   S/C BC/MINER,,,,$232.31, ,,0.755,, ,$223.30,,, ,,$251.21,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,823",3 1/2 EMT COUPL S/C,,,,1.00,,,0.00,,"$6,300.60",,,C,18.00,,C,,,,
,"7,633",3/8-16  APP BEAM CLAMP,,,,1.00,,,0.00,,$963.60,,,C,22.00,,C,,,,
,"5,716",3/8-16 X 3/4 CAP SCREW,,,,1.00,,,0.00,,$10.43,,,C,0.00,,X,,,,
,"1,622",3 1/2 EMT 90 ELBOW,,,,1.00,,,0.00,,"$15,658.80",,,C,21.00,,C,,,,
,"7,664",3-1/2  COND HGR W/BOLT,,,,1.00,,,0.00,,$297.62,,,C,14.50,,C,,,,
,"3,017",,3 1/2 EMT 90   S/C RACK,,,,$223.94, ,,0.490,, ,$207.26,,, ,,$233.16,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,823",3 1/2 EMT COUPL S/C,,,,1.00,,,0.00,,"$6,300.60",,,C,18.00,,C,,,,
,"2,053",3 1/2 EMT CHNL STRAP W/,,,,1.00,,,0.00,,$434.21,,,C,10.00,,C,,,,
,"1,622",3 1/2 EMT 90 ELBOW,,,,1.00,,,0.00,,"$15,658.80",,,C,21.00,,C,,,,
,"3,018",,3 1/2 GRNDG BUSH'G,,,,$64.14, ,,0.372,, ,$67.16,,, ,,$75.55,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,723",3 1/2 BUSH INSUL MAL GR,,,,1.00,,,0.00,,"$6,414.10",,,C,37.23,,C,,,,
,,,,,,,,,,,,,,,,,,,,,
,"3,019",,3 1/2 LB CONDULET,,,,$423.82, ,,1.800,, ,$421.57,,, ,,$474.27,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,112",2-1/2&3 COND BODY GASK,,,,1.00,,,0.00,,$11.56,,,E,0.00,,X,,,,
,"1,691",3 1/2 EMT CONN D/S,,,,2.00,,,0.00,,"$2,280.07",,,C,20.00,,C,,,,
,"3,822",3 1/2 GRC LB BODY,,,,1.00,,,0.00,,$326.12,,,E,1.40,,E,,,,
,"4,103",3 1/2 - 4  GRC FLAT COV,,,,1.00,,,0.00,,$40.53,,,E,0.00,,X,,,,
,"3,020",,3 1/2 T CONDULET,,,,$657.68, ,,1.900,, ,$624.18,,, ,,$702.20,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,763",3 1/2 EMT CONN S/C,,,,2.00,,,0.00,,"$5,328.00",,,C,20.00,,C,,,,
,"4,103",3 1/2 - 4  GRC FLAT COV,,,,1.00,,,0.00,,$40.53,,,E,0.00,,X,,,,
,"3,834",3 1/2 GRC T BODY,,,,1.00,,,0.00,,$499.03,,,E,1.50,,E,,,,
,"4,112",2-1/2&3 COND BODY GASK,,,,1.00,,,0.00,,$11.56,,,E,0.00,,X,,,,
,"3,022",,emt 4 s/c misc,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"3,023",,    4 EMT CONN S/C,,,,$73.36, ,,0.393,, ,$75.71,,, ,,$85.17,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"4,665",    4 BUSH PLASTIC,,,,1.00,,,0.00,,"$1,888.91",,,C,16.30,,C,,,,
,"1,764",    4 EMT CONN S/C,,,,1.00,,,0.00,,"$5,447.40",,,C,23.00,,C,,,,
,"3,024",,    4 EMT COUPL S/C,,,,$64.37, ,,0.200,, ,$61.57,,, ,,$69.26,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,824",    4 EMT COUPL S/C,,,,1.00,,,0.00,,"$6,437.40",,,C,20.00,,C,,,,
,,,,,,,,,,,,,,,,,,,,,
,"3,025",,    4 EMT CONN S/C/I,,,,$82.88, ,,0.230,, ,$78.34,,, ,,$88.13,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,776",    4 EMT CONN S/C/I,,,,1.00,,,0.00,,"$8,287.80",,,C,23.00,,C,,,,
,,,,,,,,,,,,,,,,,,,,,
,"3,026",,    4 EMT BEND STRAP,,,,$9.95, ,,0.610,, ,$28.97,,, ,,$32.59,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,680",    4 EMT BEND,,,,1.00,,,0.00,,$0.00,,,X,40.00,,C,,,,
,"2,042",    4 EMT 2 HOLE STP/ST,,,,1.00,,,0.00,,$369.26,,,C,5.00,,C,,,,
,"6,077",HEX LAG BLT 1/2X2-1/2,,,,2.00,,,0.00,,$54.59,,,C,8.00,,C,,,,
,"5,912","1/2"" FLAT STEEL WASHER",,,,2.00,,,0.00,,$258.12,,,C,0.00,,X,,,,
,"3,027",,    4 EMT BEND  CONCRETE,,,,$5.90, ,,0.830,, ,$32.92,,, ,,$37.03,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,725",1/2-13 X 2 CAP SCREW,,,,2.00,,,0.00,,$26.71,,,C,0.00,,X,,,,
,"5,981",1/2 MACHINE BOLT ANCH,,,,2.00,,,0.00,,$49.18,,,C,19.00,,C,,,,
,"5,913","5/8"" FLAT STEEL WASHER",,,,2.00,,,0.00,,$34.73,,,C,0.00,,X,,,,
,"1,680",    4 EMT BEND,,,,1.00,,,0.00,,$0.00,,,X,40.00,,C,,,,
,"2,042",    4 EMT 2 HOLE STP/ST,,,,1.00,,,0.00,,$369.26,,,C,5.00,,C,,,,
,"3,028",,    4 EMT BEND BC/MINERALLA,,,,$17.63, ,,0.770,, ,$40.89,,, ,,$46.00,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,633",3/8-16  APP BEAM CLAMP,,,,1.00,,,0.00,,$963.60,,,C,22.00,,C,,,,
,"7,665",    4 COND HGR W/BOLT,,,,1.00,,,0.00,,$788.98,,,C,15.00,,C,,,,
,"5,716",3/8-16 X 3/4 CAP SCREW,,,,1.00,,,0.00,,$10.43,,,C,0.00,,X,,,,
,"1,680",    4 EMT BEND,,,,1.00,,,0.00,,$0.00,,,X,40.00,,C,,,,
,"3,029",,    4 EMT BEND  RACK,,,,$4.58, ,,0.520,, ,$21.38,,, ,,$24.05,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"2,054",    4 EMT CHNL STRAP W/,,,,1.00,,,0.00,,$458.28,,,C,12.00,,C,,,,
,"1,680",    4 EMT BEND,,,,1.00,,,0.00,,$0.00,,,X,40.00,,C,,,,
,"3,030",,    4 EMT 90   S/C STRAP,,,,$267.32, ,,0.640,, ,$249.26,,, ,,$280.42,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"1,824",    4 EMT COUPL S/C,,,,1.00,,,0.00,,"$6,437.40",,,C,20.00,,C,,,,
,"1,623",    4 EMT 90 ELBOW,,,,1.00,,,0.00,,"$19,299.60",,,C,23.00,,C,,,,
,"6,077",HEX LAG BLT 1/2X2-1/2,,,,2.00,,,0.00,,$54.59,,,C,8.00,,C,,,,
,"5,912","1/2"" FLAT STEEL WASHER",,,,2.00,,,0.00,,$258.12,,,C,0.00,,X,,,,
,"2,042",    4 EMT 2 HOLE STP/ST,,,,1.00,,,0.00,,$369.26,,,C,5.00,,C,,,,
,"3,031",,    4 EMT 90   S/C  CONCRET,,,,$263.27, ,,0.860,, ,$253.21,,, ,,$284.86,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
