Report Name:,,,,,Assemblies & Byproducts  (Permanent),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Assemblies+ByProducts,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
,20,, 2/0 THHN CU STRANDED,,,,$18.68, ,,0.016,, ,$16.45,,, ,,$18.51,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,20, 2/0 THHN CU STRANDED 1,,,,1.00,,,0.00,,"$18,679.13",,,M,16.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,21,, 3/0 THHN CU STRANDED,,,,$6.80, ,,0.020,, ,$6.47,,, ,,$7.27,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,21, 3/0 THHN CU STRANDED 2,,,,1.00,,,0.00,,$6.80,,,E,20.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,22,, 4/0 THHN CU STRANDED,,,,$29.43, ,,0.022,, ,$25.81,,, ,,$29.04,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,22, 4/0 THHN CU STRANDED 2,,,,1.00,,,0.00,,"$29,426.33",,,M,22.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,23,, 250 THHN CU STRANDED,,,,$34.10, ,,0.024,, ,$29.86,,, ,,$33.59,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,23, 250 THHN CU STRANDED 2,,,,1.00,,,0.00,,"$34,097.75",,,M,24.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,24,, 300 THHN CU STRANDED,,,,$40.89, ,,0.026,, ,$35.71,,, ,,$40.18,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,24, 300 THHN CU STRANDED 3,,,,1.00,,,0.00,,"$40,891.70",,,M,26.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,25,, 350 THHN CU STRANDED,,,,$47.88, ,,0.032,, ,$41.87,,, ,,$47.10,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,25, 350 THHN CU STRANDED 3,,,,1.00,,,0.00,,"$47,880.14",,,M,32.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,26,, 400 THHN CU STRANDED,,,,$54.47, ,,0.036,, ,$47.61,,, ,,$53.57,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,26, 400 THHN CU STRANDED 3,,,,1.00,,,0.00,,"$54,466.21",,,M,36.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,27,, 500 THHN CU STRANDED,,,,$68.82, ,,0.038,, ,$59.91,,, ,,$67.40,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,27, 500 THHN CU STRANDED 4,,,,1.00,,,0.00,,"$68,822.15",,,M,38.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,28,, 600 THHN CU STRANDED,,,,$85.76, ,,0.042,, ,$74.48,,, ,,$83.79,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,28, 600 THHN CU STRANDED 4,,,,1.00,,,0.00,,"$85,758.96",,,M,42.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,29,, 750 THHN CU STRANDED,,,,$144.97, ,,0.048,, ,$125.12,,, ,,$140.76,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,29, 750 THHN CU STRANDED 5,,,,1.00,,,0.00,,"$144,965.60",,,M,48.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,30,,1000 THHN CU STRANDED,,,,$192.38, ,,0.054,, ,$165.72,,, ,,$186.43,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,30,1000 THHN CU STRANDED 6,,,,1.00,,,0.00,,"$192,375.64",,,M,54.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,32,,cu xhhw solid wire,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,33,,  14 XHHW CU SOLID,,,,$0.93, ,,0.003,, ,$0.89,,, ,,$1.00,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,33,  14 XHHW CU SOLID 20A,,,,1.00,,,0.00,,$928.55,,,M,3.00,,M,,,,
,,,,,,,,,,,,,,,,,,,,,
,34,,  12 XHHW CU SOLID,,,,$1.48, ,,0.004,, ,$1.39,,, ,,$1.57,, ,
