Category,Name,Description,Part Number,Price,Cost,Unit of Measure
Wire,COP TC43WGPCS,4/3 WG TRAY CABLE-PIECES,TC43WGPCS,6167.13,6167.13,THOUSAND
Wire,COP TC83WG2500,8/3 WG TRAY CABLE-2500',TC83WG2500,3711.82,3711.82,THOUSAND
Wire,COP TC83WGPCS,8/3 WG TRAY CABLE-PIECES,TC83WGPCS,3711.82,3711.82,THOUSAND
Wire,COP TFFN16STBK500,TFFN 16 STR BLACK 500',TFFN16STBK500,126.74,126.74,THOUSAND
Wire,COP TFFN16STBR500,TFFN 16 STR BROWN 500',TFFN16STBR500,126.74,126.74,THOUSAND
Wire,COP TFFN16STGN500,TFFN 16 STR GREEN 500',TFFN16STGN500,126.74,126.74,THOUSAND
Wire,COP TFFN16STPR500,TFFN 16 STR PURPLE 500',TFFN16STPR500,126.74,126.74,THOUSAND
Wire,COP TFFN18ST0R500,TFFN 18 STR ORANGE 500',TFFN18ST0R500,90.58,90.58,THOUSAND
Wire,COP TFFN18STBL500,TFFN 18 STR BLUE 500',TFFN18STBL500,90.58,90.58,THOUSAND
Wire,COP TFFN18STGN500,TFFN 18 STR GREEN 500',TFFN18STGN500,90.58,90.58,THOUSAND
Wire,COP TFFN18STGY2500,TFFN 18 STR GRAY 2500',TFFN18STGY2500,90.58,90.58,THOUSAND
Wire,COP TFFN18STGY500,TFFN 18 STR GRAY 500',TFFN18STGY500,90.58,90.58,THOUSAND
Wire,COP TFFN18STPR500,TFFN 18 STR PURPLE 500',TFFN18STPR500,90.58,90.58,THOUSAND
Wire,COP TFFN18STRD500,TFFN 18 STR RED 500',TFFN18STRD500,90.58,90.58,THOUSAND
Wire,COP TFFN18STWH2500,TFFN 18 STR WHITE 2500',TFFN18STWH2500,90.58,90.58,THOUSAND
Wire,COP TFN18S0LBK500,TFN 18 SOL BLACK 500',TFN18S0LBK500,74.28,74.28,THOUSAND
Wire,COP THHN10BK5000,THHN 1/0 STR BLACK 5000',THHN10BK5000,3245.99,3245.99,THOUSAND
Wire,COP THHN10S0L0R2500,THHN 10 SOL ORANGE 2500',THHN10S0L0R2500,314.76,314.76,THOUSAND
Wire,COP THHN10S0LBL500,THHN 10 SOL BLUE 500',THHN10S0LBL500,314.76,314.76,THOUSAND
Wire,COP THHN10S0LGY2500,THHN 10 SOL GRAY 2500',THHN10S0LGY2500,314.76,314.76,THOUSAND
Wire,COP THHN10S0LPR500,THHN 10 SOL PURPLE 500',THHN10S0LPR500,314.76,314.76,THOUSAND
Wire,COP THHN10S0LYL500,THHN 10 SOL YELLOW 500',THHN10S0LYL500,314.76,314.76,THOUSAND
Wire,COP THHN10STBK500,THHN 10 STR BLACK 500',THHN10STBK500,329.64,329.64,THOUSAND
Wire,COP THHN10STBL2500,THHN 10 STR BLUE 2500',THHN10STBL2500,329.64,329.64,THOUSAND
Wire,COP THHN10STBR2500,THHN 10 STR BROWN 2500',THHN10STBR2500,329.64,329.64,THOUSAND
Wire,COP THHN10STGN2500,THHN 10 STR GREEN 2500',THHN10STGN2500,329.64,329.64,THOUSAND
Wire,COP THHN10STGY2500,THHN 10 STR GRAY 2500',THHN10STGY2500,329.64,329.64,THOUSAND
Wire,COP THHN10STPK500,THHN 10 STR PINK 500',THHN10STPK500,329.64,329.64,THOUSAND
Wire,COP THHN10STRD2500,THHN 10 STR RED 2500',THHN10STRD2500,329.64,329.64,THOUSAND
Wire,COP THHN10STWH2500,THHN 10 STR WHITE 2500',THHN10STWH2500,329.64,329.64,THOUSAND
Wire,COP THHN10STYL2500,THHN 10 STR YELLOW 2500',THHN10STYL2500,329.64,329.64,THOUSAND
Wire,COP THHN10STYL500,THHN 10 STR YELLOW 500',THHN10STYL500,329.64,329.64,THOUSAND
Wire,COP THHN12S0LBL500,THHN 12 SOL BLUE 500',THHN12S0LBL500,201.19,201.19,THOUSAND
Wire,COP THHN12S0LBR500,THHN 12 SOL BROWN 500',THHN12S0LBR500,201.19,201.19,THOUSAND
Wire,COP THHN12S0LGN2500,THHN 12 SOL GREEN 2500',THHN12S0LGN2500,201.19,201.19,THOUSAND
Wire,COP THHN12S0LPR2500,THHN 12 SOL PURPLE 2500',THHN12S0LPR2500,201.19,201.19,THOUSAND
Wire,COP THHN12S0LRD500,THHN 12 SOL RED 500',THHN12S0LRD500,201.19,201.19,THOUSAND
Wire,COP THHN12S0LWH500,THHN 12 SOL WHITE 500',THHN12S0LWH500,201.19,201.19,THOUSAND
Wire,COP THHN12S0LYL500,THHN 12 SOL YELLOW 500',THHN12S0LYL500,201.19,201.19,THOUSAND
Wire,COP THHN12ST0R2500,THHN 12 STR ORANGE 2500',THHN12ST0R2500,215.51,215.51,THOUSAND
Wire,COP THHN12STBK500,THHN 12 STR BLACK 500',THHN12STBK500,215.51,215.51,THOUSAND
Wire,COP THHN12STBL2500,THHN 12 STR BLUE 2500',THHN12STBL2500,215.51,215.51,THOUSAND
Wire,COP THHN12STBR2500,THHN 12 STR BROWN 2500',THHN12STBR2500,215.51,215.51,THOUSAND
Wire,COP THHN12STGN2500,THHN 12 STR GREEN 2500',THHN12STGN2500,215.51,215.51,THOUSAND
Wire,COP THHN12STGN500,THHN 12 STR GREEN 500',THHN12STGN500,215.51,215.51,THOUSAND
Wire,COP THHN12STGY2500,THHN 12 STR GRAY 2500',THHN12STGY2500,215.51,215.51,THOUSAND
Wire,COP THHN12STPR2500,THHN 12 STR PURPLE 2500',THHN12STPR2500,215.51,215.51,THOUSAND
Wire,COP THHN12STWH500,THHN 12 STR WHITE 500',THHN12STWH500,215.51,215.51,THOUSAND
Wire,COP THHN14S0L0R500,THHN 14 SOL ORANGE 500',THHN14S0L0R500,133.42,133.42,THOUSAND
Wire,COP THHN14S0LBK500,THHN 14 SOL BLACK 500',THHN14S0LBK500,133.42,133.42,THOUSAND
Wire,COP THHN14S0LBL2500,THHN 14 SOL BLUE 2500',THHN14S0LBL2500,133.42,133.42,THOUSAND
Wire,COP THHN14S0LGY500,THHN 14 SOL GRAY 500',THHN14S0LGY500,133.42,133.42,THOUSAND
Wire,COP THHN14S0LPR500,THHN 14 SOL PURPLE 500',THHN14S0LPR500,133.42,133.42,THOUSAND
Wire,COP THHN14S0LRD2500,THHN 14 SOL RED 2500',THHN14S0LRD2500,133.42,133.42,THOUSAND
Wire,COP THHN14S0LRD500,THHN 14 SOL RED 500',THHN14S0LRD500,133.42,133.42,THOUSAND
Wire,COP THHN14S0LWH500,THHN 14 SOL WHITE 500',THHN14S0LWH500,133.42,133.42,THOUSAND
Wire,COP THHN14S0LYL500,THHN 14 SOL YELLOW 500',THHN14S0LYL500,133.42,133.42,THOUSAND
Wire,COP THHN14ST0R2500,THHN 14 STR ORANGE 2500',THHN14ST0R2500,148.43,148.43,THOUSAND
Wire,COP THHN14STBK2500,THHN 14 STR BLACK 2500',THHN14STBK2500,148.43,148.43,THOUSAND
Wire,COP THHN14STBL500,THHN 14 STR BLUE 500',THHN14STBL500,148.43,148.43,THOUSAND
Wire,COP THHN14STGN2500,THHN 14 STR GREEN 2500',THHN14STGN2500,148.43,148.43,THOUSAND
Wire,COP THHN14STPK2500,THHN 14 STR PINK 2500',THHN14STPK2500,148.43,148.43,THOUSAND
Wire,COP THHN14STRD500,THHN 14 STR RED 500',THHN14STRD500,148.43,148.43,THOUSAND
Wire,COP THHN14STWH500,THHN 14 STR WHITE 500',THHN14STWH500,148.43,148.43,THOUSAND
Wire,COP THHN14STYL2500,THHN 14 STR YELLOW 2500',THHN14STYL2500,148.40,148.40,THOUSAND
Wire,COP THHN1BK500,THHN 1 STR BLACK 500',THHN1BK500,2651.43,2651.43,THOUSAND
Wire,COP THHN20BK1000,THHN 2/0 STR BLACK 1000',THHN20BK1000,3998.68,3998.68,THOUSAND
Wire,COP THHN20BK5000,THHN 2/0 STR BLACK 5000',THHN20BK5000,3998.68,3998.68,THOUSAND
Wire,COP THHN20GN1000,THHN 2/0 STR GREEN 1000',THHN20GN1000,3998.68,3998.68,THOUSAND
Wire,COP THHN20GN500,THHN 2/0 STR GREEN 500',THHN20GN500,3998.68,3998.68,THOUSAND
Wire,COP THHN20GNPCS,THHN 2/0 STR GREEN PCS,THHN20GNPCS,3998.68,3998.68,THOUSAND
Wire,COP THHN2BK1000,THHN 2 STR BLACK 1000',THHN2BK1000,2313.41,2313.41,THOUSAND
Wire,COP THHN2BK2500,THHN 2 STR BLACK 2500',THHN2BK2500,2313.41,2313.41,THOUSAND
Wire,COP THHN2BKPCS,THHN 2 STR BLACK PCS,THHN2BKPCS,2313.41,2313.41,THOUSAND
Wire,COP THHN2GN500,THHN 2 STR GREEN 500',THHN2GN500,2313.41,2313.41,THOUSAND
