Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
"10,001",,"RACK  6""/48"" 1/2"" ROD",,,,$95.25,E,,0.785,, ,$107.53,,, ,,$120.97,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"6,113","1/2"" ALL THREAD",,,,8.00,,,0.00,,$986.01,,,C,2.00,,C,,,,
"6,106","1/2"" NUT",,,,6.00,,,0.00,,$40.70,,,C,0.00,,X,,,,
"5,912","1/2"" FLAT STEEL WASHER",,,,4.00,,,0.00,,$258.12,,,C,0.00,,X,,,,
"6,464",CHANNEL CUTS - LABOR ON,,,,1.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"6,099","1/2"" SADDLE WASHER",,,,2.00,,,0.00,,$11.32,,,C,0.00,,X,,,,
"6,319",1 5/8 UNISTRUT P1000-10,,,,0.50,,,0.00,,$450.77,,,C,9.00,,C,,,,
"5,921",1/2  LOCK WASHER,,,,2.00,,,0.00,,$6.82,,,C,0.00,,X,,,,
"5,981",1/2 MACHINE BOLT ANCH,,,,2.00,,,0.00,,$49.18,,,C,19.00,,C,,,,
"10,002",,"RACK  9""/48"" 1/2"" ROD",,,,$96.37,E,,0.808,, ,$109.24,,, ,,$122.90,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"6,113","1/2"" ALL THREAD",,,,8.00,,,0.00,,$986.01,,,C,2.00,,C,,,,
"6,106","1/2"" NUT",,,,6.00,,,0.00,,$40.70,,,C,0.00,,X,,,,
"5,912","1/2"" FLAT STEEL WASHER",,,,4.00,,,0.00,,$258.12,,,C,0.00,,X,,,,
"6,464",CHANNEL CUTS - LABOR ON,,,,1.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"6,099","1/2"" SADDLE WASHER",,,,2.00,,,0.00,,$11.32,,,C,0.00,,X,,,,
"6,319",1 5/8 UNISTRUT P1000-10,,,,0.75,,,0.00,,$450.77,,,C,9.00,,C,,,,
"5,921",1/2  LOCK WASHER,,,,2.00,,,0.00,,$6.82,,,C,0.00,,X,,,,
"5,981",1/2 MACHINE BOLT ANCH,,,,2.00,,,0.00,,$49.18,,,C,19.00,,C,,,,
"10,003",,"RACK 12""/48"" 1/2"" ROD",,,,$97.50,E,,0.830,, ,$110.96,,, ,,$124.83,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"6,099","1/2"" SADDLE WASHER",,,,2.00,,,0.00,,$11.32,,,C,0.00,,X,,,,
"6,319",1 5/8 UNISTRUT P1000-10,,,,1.00,,,0.00,,$450.77,,,C,9.00,,C,,,,
"5,921",1/2  LOCK WASHER,,,,2.00,,,0.00,,$6.82,,,C,0.00,,X,,,,
"5,981",1/2 MACHINE BOLT ANCH,,,,2.00,,,0.00,,$49.18,,,C,19.00,,C,,,,
"6,113","1/2"" ALL THREAD",,,,8.00,,,0.00,,$986.01,,,C,2.00,,C,,,,
"6,106","1/2"" NUT",,,,6.00,,,0.00,,$40.70,,,C,0.00,,X,,,,
"5,912","1/2"" FLAT STEEL WASHER",,,,4.00,,,0.00,,$258.12,,,C,0.00,,X,,,,
