Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
"11,045",,"24"" HORZ BEND 30 24""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,347","24"" HORZ BEND 30 24""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,046",,"30"" HORZ BEND 30 24""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,348","30"" HORZ BEND 30 24""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,047",,"36"" HORZ BEND 30 24""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,349","36"" HORZ BEND 30 24""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,048",,"42"" HORZ BEND 30 24""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,350","42"" HORZ BEND 30 24""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,050",,"tray horz bend 90 36""r al",,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"11,051",," 6"" HORZ BEND 90 36""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,353"," 6"" HORZ BEND 90 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"11,052",," 9"" HORZ BEND 90 36""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,354"," 9"" HORZ BEND 90 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,053",,"12"" HORZ BEND 90 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,355","12"" HORZ BEND 90 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,054",,"18"" HORZ BEND 90 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,356","18"" HORZ BEND 90 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,055",,"24"" HORZ BEND 90 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,357","24"" HORZ BEND 90 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,056",,"30"" HORZ BEND 90 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,358","30"" HORZ BEND 90 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,057",,"36"" HORZ BEND 90 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,359","36"" HORZ BEND 90 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,058",,"42"" HORZ BEND 90 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,360","42"" HORZ BEND 90 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,060",,"tray horz bend 60 36""r al",,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"11,061",," 6"" HORZ BEND 60 36""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,363"," 6"" HORZ BEND 60 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"11,062",," 9"" HORZ BEND 60 36""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,364"," 9"" HORZ BEND 60 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"11,063",,"12"" HORZ BEND 60 36""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,365","12"" HORZ BEND 60 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,064",,"18"" HORZ BEND 60 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,366","18"" HORZ BEND 60 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,065",,"24"" HORZ BEND 60 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,367","24"" HORZ BEND 60 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,066",,"30"" HORZ BEND 60 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,368","30"" HORZ BEND 60 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,067",,"36"" HORZ BEND 60 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,369","36"" HORZ BEND 60 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,068",,"42"" HORZ BEND 60 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,370","42"" HORZ BEND 60 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,070",,"tray horz bend 45 36""r al",,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"11,071",," 6"" HORZ BEND 45 36""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,373"," 6"" HORZ BEND 45 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,072",," 9"" HORZ BEND 45 36""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,374"," 9"" HORZ BEND 45 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"11,073",,"12"" HORZ BEND 45 36""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,375","12"" HORZ BEND 45 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"11,074",,"18"" HORZ BEND 45 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,376","18"" HORZ BEND 45 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,075",,"24"" HORZ BEND 45 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,377","24"" HORZ BEND 45 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,076",,"30"" HORZ BEND 45 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,378","30"" HORZ BEND 45 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,077",,"36"" HORZ BEND 45 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,379","36"" HORZ BEND 45 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,078",,"42"" HORZ BEND 45 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,380","42"" HORZ BEND 45 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,080",,"tray horz bend 30 36""r al",,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"11,081",," 6"" HORZ BEND 30 36""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,383"," 6"" HORZ BEND 30 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"11,082",," 9"" HORZ BEND 30 36""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,384"," 9"" HORZ BEND 30 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"11,083",,"12"" HORZ BEND 30 36""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,385","12"" HORZ BEND 30 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"11,084",,"18"" HORZ BEND 30 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,386","18"" HORZ BEND 30 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,085",,"24"" HORZ BEND 30 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,387","24"" HORZ BEND 30 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,086",,"30"" HORZ BEND 30 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,388","30"" HORZ BEND 30 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,087",,"36"" HORZ BEND 30 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,389","36"" HORZ BEND 30 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,088",,"42"" HORZ BEND 30 36""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,390","42"" HORZ BEND 30 36""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,090",,"tray horz bend 90 48""r al",,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"11,091",," 6"" HORZ BEND 90 48""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,393"," 6"" HORZ BEND 90 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,092",," 9"" HORZ BEND 90 48""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,394"," 9"" HORZ BEND 90 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,093",,"12"" HORZ BEND 90 48""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,395","12"" HORZ BEND 90 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"11,094",,"18"" HORZ BEND 90 48""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,396","18"" HORZ BEND 90 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,095",,"24"" HORZ BEND 90 48""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,397","24"" HORZ BEND 90 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,096",,"30"" HORZ BEND 90 48""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,398","30"" HORZ BEND 90 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,097",,"36"" HORZ BEND 90 48""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,399","36"" HORZ BEND 90 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,098",,"42"" HORZ BEND 90 48""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,400","42"" HORZ BEND 90 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,100",,"tray horz bend 60 48""r al",,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"11,101",," 6"" HORZ BEND 60 48""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,403"," 6"" HORZ BEND 60 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"11,102",," 9"" HORZ BEND 60 48""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,404"," 9"" HORZ BEND 60 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"11,103",,"12"" HORZ BEND 60 48""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,405","12"" HORZ BEND 60 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,104",,"18"" HORZ BEND 60 48""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,406","18"" HORZ BEND 60 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,105",,"24"" HORZ BEND 60 48""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,407","24"" HORZ BEND 60 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,106",,"30"" HORZ BEND 60 48""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,408","30"" HORZ BEND 60 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,107",,"36"" HORZ BEND 60 48""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,409","36"" HORZ BEND 60 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,108",,"42"" HORZ BEND 60 48""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,410","42"" HORZ BEND 60 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,110",,"tray horz bend 45 48""r al",,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"11,111",," 6"" HORZ BEND 45 48""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,413"," 6"" HORZ BEND 45 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,112",," 9"" HORZ BEND 45 48""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,414"," 9"" HORZ BEND 45 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"11,113",,"12"" HORZ BEND 45 48""R AL TR",,,,$0.00, ,,1.500,, ,$50.40,,,E,,$56.70,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,415","12"" HORZ BEND 45 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,1.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,114",,"18"" HORZ BEND 45 48""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"14,416","18"" HORZ BEND 45 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"11,115",,"24"" HORZ BEND 45 48""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,417","24"" HORZ BEND 45 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,116",,"30"" HORZ BEND 45 48""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"14,418","30"" HORZ BEND 45 48""R A",,,,1.00,,,0.00,,$0.00,,,Q,2.00,,E,,,,
"15,520",CABLE TRAY MISC SUPPORT,,,,1.00,,,0.00,,$0.00,,,Q,0.50,,E,,,,
"11,117",,"36"" HORZ BEND 45 48""R AL TR",,,,$0.00, ,,2.500,, ,$84.00,,,E,,$94.50,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
