Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,3.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"39,716","24.9/14.4KV 14"" -7"" STU",,,,1.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"38,938","5/8"" x 12"" SINGLE UPSET",,,,1.00,,,0.00,,$0.00,,,E,0.10,,E,,,,
"39,443","3""  SECONDARY (WET) SPO",,,,1.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,3.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"39,769","BRACKET, POLE TOP FOR P",,,,1.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"30,018",,SGL SUPPORT-TAN POST(RUS VA,,,,$0.00, ,,2.060,, ,$69.22,,,E,,$77.87,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"36,867","5/8""X10"" MACHINE BOLT",,,,2.00,,,0.00,,$0.00,,,E,0.11,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,3.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"37,082","5/8"" X 4"" LAG BOLT",,,,2.00,,,0.00,,$0.00,,,E,0.22,,E,,,,
"39,716","24.9/14.4KV 14"" -7"" STU",,,,1.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"39,773","BRACKET, OFFSET NEUTRAL",,,,1.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"39,443","3""  SECONDARY (WET) SPO",,,,1.00,,,0.00,,$0.00,,,E,0.20,,E,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,3.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"39,769","BRACKET, POLE TOP FOR P",,,,1.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"30,021",,24.9/14.4 kv rus,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,022",,single support,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,023",,SGL SUPPORT(RUS VA 1.3),,,,$0.00, ,,1.870,, ,$62.83,,,E,,$70.69,,E,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"36,867","5/8""X10"" MACHINE BOLT",,,,3.00,,,0.00,,$0.00,,,E,0.11,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,3.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"36,829","PIN INSUL 1"" 24.9/14.4K",,,,1.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"39,607","BRACKET W/ 3"" SPOOL INS",,,,1.00,,,0.00,,$0.00,,,E,0.30,,E,,,,
"36,834","PIN, POLE TOP 20"" STL 1",,,,1.00,,,0.00,,$0.00,,,E,0.32,,E,,,,
"36,901","5/8"" 2 1/4""X2 1/4"" FLAT",,,,3.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"30,026",,24.9/14.4 kv rus,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
