Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
"20,001",,"4 #6 1"" HR EMT S/S RACK CON",,,,$21.76, ,,0.077,, ,$21.13,,, ,,$23.77,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"1,564",    1 EMT CONDUIT,,,,1.00,,,0.00,,$295.75,,,C,4.00,,C,,,,
"1,805",    1 EMT COUP S/S,,,,0.10,,,0.00,,$164.40,,,C,4.00,,C,,,,
"1,733",    1 EMT CONN S/S,,,,0.00,,,2.00,,$145.80,,,C,6.00,,C,,,,
"2,047",    1 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$187.40,,,C,4.00,,C,,,,
14,   6 THHN CU STRANDED 7,,,,4.00,,,28.00,,"$4,600.64",,,M,7.00,,M,,,,
"20,002",,"5 #6 1"" HR EMT S/S RACK CON",,,,$26.36, ,,0.084,, ,$25.28,,, ,,$28.44,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
14,   6 THHN CU STRANDED 7,,,,5.00,,,35.00,,"$4,600.64",,,M,7.00,,M,,,,
"2,047",    1 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$187.40,,,C,4.00,,C,,,,
"1,564",    1 EMT CONDUIT,,,,1.00,,,0.00,,$295.75,,,C,4.00,,C,,,,
"1,805",    1 EMT COUP S/S,,,,0.10,,,0.00,,$164.40,,,C,4.00,,C,,,,
"1,733",    1 EMT CONN S/S,,,,0.00,,,2.00,,$145.80,,,C,6.00,,C,,,,
"20,004",,n4 hr emt s/s racks const,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"20,005",,"2 #4 1"" HR EMT S/S RACK CON",,,,$17.44, ,,0.065,, ,$17.04,,, ,,$19.17,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"1,564",    1 EMT CONDUIT,,,,1.00,,,0.00,,$295.75,,,C,4.00,,C,,,,
"1,805",    1 EMT COUP S/S,,,,0.10,,,0.00,,$164.40,,,C,4.00,,C,,,,
"1,733",    1 EMT CONN S/S,,,,0.00,,,2.00,,$145.80,,,C,6.00,,C,,,,
"2,047",    1 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$187.40,,,C,4.00,,C,,,,
15,   4 THHN CU STRANDED 9,,,,2.00,,,14.00,,"$7,040.33",,,M,8.00,,M,,,,
"20,006",,"3 #4 1"" HR EMT S/S RACK CON",,,,$24.48, ,,0.073,, ,$23.31,,, ,,$26.22,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
15,   4 THHN CU STRANDED 9,,,,3.00,,,21.00,,"$7,040.33",,,M,8.00,,M,,,,
"2,047",    1 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$187.40,,,C,4.00,,C,,,,
"1,564",    1 EMT CONDUIT,,,,1.00,,,0.00,,$295.75,,,C,4.00,,C,,,,
"1,805",    1 EMT COUP S/S,,,,0.10,,,0.00,,$164.40,,,C,4.00,,C,,,,
"1,733",    1 EMT CONN S/S,,,,0.00,,,2.00,,$145.80,,,C,6.00,,C,,,,
"20,007",,"4 #4 1"" HR EMT S/S RACK CON",,,,$31.52, ,,0.081,, ,$29.57,,, ,,$33.27,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"1,564",    1 EMT CONDUIT,,,,1.00,,,0.00,,$295.75,,,C,4.00,,C,,,,
"1,805",    1 EMT COUP S/S,,,,0.10,,,0.00,,$164.40,,,C,4.00,,C,,,,
"1,733",    1 EMT CONN S/S,,,,0.00,,,2.00,,$145.80,,,C,6.00,,C,,,,
"2,047",    1 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$187.40,,,C,4.00,,C,,,,
15,   4 THHN CU STRANDED 9,,,,4.00,,,28.00,,"$7,040.33",,,M,8.00,,M,,,,
"20,009",,"n14 3/4"" hr emt s/s racks c",,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"20,010",,"2 #14 3/4"" HR EMT S/S RACK ",,,,$3.38, ,,0.045,, ,$4.38,,, ,,$4.93,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"2,046",  3/4 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$175.62,,,C,4.00,,C,,,,
10,  14 THHN CU STRANDED 2,,,,2.00,,,14.00,,$641.54,,,M,3.00,,M,,,,
"1,563",  3/4 EMT CONDUIT,,,,1.00,,,0.00,,$177.52,,,C,3.00,,C,,,,
"1,732",  3/4 EMT CONN S/S,,,,0.00,,,2.00,,$85.80,,,C,5.00,,C,,,,
"1,804",  3/4 EMT COUP S/S,,,,0.10,,,0.00,,$106.20,,,C,3.50,,C,,,,
"20,011",,"3 #14 3/4"" HR EMT S/S RACK ",,,,$4.03, ,,0.048,, ,$5.03,,, ,,$5.65,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"1,563",  3/4 EMT CONDUIT,,,,1.00,,,0.00,,$177.52,,,C,3.00,,C,,,,
"1,732",  3/4 EMT CONN S/S,,,,0.00,,,2.00,,$85.80,,,C,5.00,,C,,,,
"1,804",  3/4 EMT COUP S/S,,,,0.10,,,0.00,,$106.20,,,C,3.50,,C,,,,
"2,046",  3/4 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$175.62,,,C,4.00,,C,,,,
10,  14 THHN CU STRANDED 2,,,,3.00,,,21.00,,$641.54,,,M,3.00,,M,,,,
"20,012",,"4 #14 3/4"" HR EMT S/S RACK ",,,,$4.67, ,,0.051,, ,$5.67,,, ,,$6.38,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"2,046",  3/4 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$175.62,,,C,4.00,,C,,,,
10,  14 THHN CU STRANDED 2,,,,4.00,,,28.00,,$641.54,,,M,3.00,,M,,,,
"1,563",  3/4 EMT CONDUIT,,,,1.00,,,0.00,,$177.52,,,C,3.00,,C,,,,
"1,732",  3/4 EMT CONN S/S,,,,0.00,,,2.00,,$85.80,,,C,5.00,,C,,,,
"1,804",  3/4 EMT COUP S/S,,,,0.10,,,0.00,,$106.20,,,C,3.50,,C,,,,
"20,013",,"5 #14 3/4"" HR EMT S/S RACK ",,,,$5.31, ,,0.054,, ,$6.32,,, ,,$7.11,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"2,046",  3/4 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$175.62,,,C,4.00,,C,,,,
10,  14 THHN CU STRANDED 2,,,,5.00,,,35.00,,$641.54,,,M,3.00,,M,,,,
"1,563",  3/4 EMT CONDUIT,,,,1.00,,,0.00,,$177.52,,,C,3.00,,C,,,,
"1,732",  3/4 EMT CONN S/S,,,,0.00,,,2.00,,$85.80,,,C,5.00,,C,,,,
"1,804",  3/4 EMT COUP S/S,,,,0.10,,,0.00,,$106.20,,,C,3.50,,C,,,,
"20,014",,"6 #14 3/4"" HR EMT S/S RACK ",,,,$5.95, ,,0.057,, ,$6.97,,, ,,$7.84,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"1,563",  3/4 EMT CONDUIT,,,,1.00,,,0.00,,$177.52,,,C,3.00,,C,,,,
"1,732",  3/4 EMT CONN S/S,,,,0.00,,,2.00,,$85.80,,,C,5.00,,C,,,,
"1,804",  3/4 EMT COUP S/S,,,,0.10,,,0.00,,$106.20,,,C,3.50,,C,,,,
"2,046",  3/4 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$175.62,,,C,4.00,,C,,,,
10,  14 THHN CU STRANDED 2,,,,6.00,,,42.00,,$641.54,,,M,3.00,,M,,,,
"20,015",,"7 #14 3/4"" HR EMT S/S RACK ",,,,$6.59, ,,0.060,, ,$7.62,,, ,,$8.57,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"2,046",  3/4 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$175.62,,,C,4.00,,C,,,,
10,  14 THHN CU STRANDED 2,,,,7.00,,,49.00,,$641.54,,,M,3.00,,M,,,,
"1,563",  3/4 EMT CONDUIT,,,,1.00,,,0.00,,$177.52,,,C,3.00,,C,,,,
"1,732",  3/4 EMT CONN S/S,,,,0.00,,,2.00,,$85.80,,,C,5.00,,C,,,,
"1,804",  3/4 EMT COUP S/S,,,,0.10,,,0.00,,$106.20,,,C,3.50,,C,,,,
"20,016",,"8 #14 3/4"" HR EMT S/S RACK ",,,,$7.23, ,,0.063,, ,$8.26,,, ,,$9.30,, ,
