Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"1,563",  3/4 EMT CONDUIT,,,,1.00,,,0.00,,$177.52,,,C,3.00,,C,,,,
"1,732",  3/4 EMT CONN S/S,,,,0.00,,,2.00,,$85.80,,,C,5.00,,C,,,,
"1,804",  3/4 EMT COUP S/S,,,,0.10,,,0.00,,$106.20,,,C,3.50,,C,,,,
"2,046",  3/4 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$175.62,,,C,4.00,,C,,,,
10,  14 THHN CU STRANDED 2,,,,8.00,,,56.00,,$641.54,,,M,3.00,,M,,,,
"20,018",,"n12 3/4"" hr emt s/s racks c",,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"20,019",,"2 #12 3/4"" HR EMT S/S RACK ",,,,$4.00, ,,0.047,, ,$4.97,,, ,,$5.59,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"1,563",  3/4 EMT CONDUIT,,,,1.00,,,0.00,,$177.52,,,C,3.00,,C,,,,
"1,732",  3/4 EMT CONN S/S,,,,0.00,,,2.00,,$85.80,,,C,5.00,,C,,,,
11,  12 THHN CU STRANDED 3,,,,2.00,,,14.00,,$948.00,,,M,4.00,,M,,,,
"1,804",  3/4 EMT COUP S/S,,,,0.10,,,0.00,,$106.20,,,C,3.50,,C,,,,
"2,046",  3/4 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$175.62,,,C,4.00,,C,,,,
"20,020",,"3 #12 3/4"" HR EMT S/S RACK ",,,,$4.94, ,,0.051,, ,$5.91,,, ,,$6.65,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"2,046",  3/4 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$175.62,,,C,4.00,,C,,,,
"1,563",  3/4 EMT CONDUIT,,,,1.00,,,0.00,,$177.52,,,C,3.00,,C,,,,
"1,732",  3/4 EMT CONN S/S,,,,0.00,,,2.00,,$85.80,,,C,5.00,,C,,,,
11,  12 THHN CU STRANDED 3,,,,3.00,,,21.00,,$948.00,,,M,4.00,,M,,,,
"1,804",  3/4 EMT COUP S/S,,,,0.10,,,0.00,,$106.20,,,C,3.50,,C,,,,
"20,021",,"4 #12 3/4"" HR EMT S/S RACK ",,,,$5.89, ,,0.055,, ,$6.85,,, ,,$7.71,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"2,046",  3/4 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$175.62,,,C,4.00,,C,,,,
"1,563",  3/4 EMT CONDUIT,,,,1.00,,,0.00,,$177.52,,,C,3.00,,C,,,,
"1,732",  3/4 EMT CONN S/S,,,,0.00,,,2.00,,$85.80,,,C,5.00,,C,,,,
11,  12 THHN CU STRANDED 3,,,,4.00,,,28.00,,$948.00,,,M,4.00,,M,,,,
"1,804",  3/4 EMT COUP S/S,,,,0.10,,,0.00,,$106.20,,,C,3.50,,C,,,,
"20,022",,"5 #12 3/4"" HR EMT S/S RACK ",,,,$6.84, ,,0.059,, ,$7.79,,, ,,$8.77,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"1,563",  3/4 EMT CONDUIT,,,,1.00,,,0.00,,$177.52,,,C,3.00,,C,,,,
"1,732",  3/4 EMT CONN S/S,,,,0.00,,,2.00,,$85.80,,,C,5.00,,C,,,,
11,  12 THHN CU STRANDED 3,,,,5.00,,,35.00,,$948.00,,,M,4.00,,M,,,,
"1,804",  3/4 EMT COUP S/S,,,,0.10,,,0.00,,$106.20,,,C,3.50,,C,,,,
"2,046",  3/4 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$175.62,,,C,4.00,,C,,,,
"20,023",,"6 #12 3/4"" HR EMT S/S RACK ",,,,$7.79, ,,0.063,, ,$8.74,,, ,,$9.83,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"2,046",  3/4 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$175.62,,,C,4.00,,C,,,,
"1,563",  3/4 EMT CONDUIT,,,,1.00,,,0.00,,$177.52,,,C,3.00,,C,,,,
"1,732",  3/4 EMT CONN S/S,,,,0.00,,,2.00,,$85.80,,,C,5.00,,C,,,,
11,  12 THHN CU STRANDED 3,,,,6.00,,,42.00,,$948.00,,,M,4.00,,M,,,,
"1,804",  3/4 EMT COUP S/S,,,,0.10,,,0.00,,$106.20,,,C,3.50,,C,,,,
"20,024",,"7 #12 3/4"" HR EMT S/S RACK ",,,,$8.74, ,,0.067,, ,$9.68,,, ,,$10.89,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"1,563",  3/4 EMT CONDUIT,,,,1.00,,,0.00,,$177.52,,,C,3.00,,C,,,,
"1,732",  3/4 EMT CONN S/S,,,,0.00,,,2.00,,$85.80,,,C,5.00,,C,,,,
11,  12 THHN CU STRANDED 3,,,,7.00,,,49.00,,$948.00,,,M,4.00,,M,,,,
"1,804",  3/4 EMT COUP S/S,,,,0.10,,,0.00,,$106.20,,,C,3.50,,C,,,,
"2,046",  3/4 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$175.62,,,C,4.00,,C,,,,
"20,025",,"8 #12 3/4"" HR EMT S/S RACK ",,,,$9.68, ,,0.071,, ,$10.62,,, ,,$11.95,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"1,563",  3/4 EMT CONDUIT,,,,1.00,,,0.00,,$177.52,,,C,3.00,,C,,,,
"1,732",  3/4 EMT CONN S/S,,,,0.00,,,2.00,,$85.80,,,C,5.00,,C,,,,
11,  12 THHN CU STRANDED 3,,,,8.00,,,56.00,,$948.00,,,M,4.00,,M,,,,
"1,804",  3/4 EMT COUP S/S,,,,0.10,,,0.00,,$106.20,,,C,3.50,,C,,,,
"2,046",  3/4 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$175.62,,,C,4.00,,C,,,,
"20,028",,s/s emt feeder rack w/wire ,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"20,029",,n3 emt s/s rack const,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"20,030",,"3 #3   1"" EMT   S/S  RACK C",,,,$30.00, ,,0.076,, ,$28.11,,, ,,$31.62,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
16,   3 THHN CU STRANDED 1,,,,3.00,,,45.00,,"$8,880.02",,,M,9.00,,M,,,,
"1,733",    1 EMT CONN S/S,,,,0.00,,,2.00,,$145.80,,,C,6.00,,C,,,,
"2,047",    1 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$187.40,,,C,4.00,,C,,,,
"1,564",    1 EMT CONDUIT,,,,1.00,,,0.00,,$295.75,,,C,4.00,,C,,,,
"1,805",    1 EMT COUP S/S,,,,0.10,,,0.00,,$164.40,,,C,4.00,,C,,,,
"20,031",,"3 #3 & 1 #8  1"" EMT S/S RAC",,,,$32.69, ,,0.082,, ,$30.60,,, ,,$34.43,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"2,047",    1 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$187.40,,,C,4.00,,C,,,,
13,   8 THHN CU STRANDED 5,,,,1.00,,,15.00,,"$2,691.24",,,M,6.00,,M,,,,
"1,564",    1 EMT CONDUIT,,,,1.00,,,0.00,,$295.75,,,C,4.00,,C,,,,
"1,805",    1 EMT COUP S/S,,,,0.10,,,0.00,,$164.40,,,C,4.00,,C,,,,
16,   3 THHN CU STRANDED 1,,,,3.00,,,45.00,,"$8,880.02",,,M,9.00,,M,,,,
"1,733",    1 EMT CONN S/S,,,,0.00,,,2.00,,$145.80,,,C,6.00,,C,,,,
"20,032",,"4 #3 1 1/4"" EMT S/S RACK CO",,,,$40.76, ,,0.099,, ,$38.04,,, ,,$42.79,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
16,   3 THHN CU STRANDED 1,,,,4.00,,,60.00,,"$8,880.02",,,M,9.00,,M,,,,
"2,048",1 1/4 EMT CHNL STRAP W/,,,,0.13,,,3.00,,$196.96,,,C,6.00,,C,,,,
"1,734",1 1/4 EMT CONN S/S,,,,0.00,,,2.00,,$282.60,,,C,7.00,,C,,,,
"1,674",1 1/4 EMT BEND,,,,0.00,,,0.00,,$0.00,,,X,17.00,,C,,,,
"1,806",1 1/4 EMT COUP S/S,,,,0.10,,,3.00,,$328.80,,,C,5.00,,C,,,,
"1,617",1 1/4 EMT 90 ELBOW,,,,0.00,,,3.00,,"$2,268.60",,,C,10.00,,C,,,,
"1,565",1 1/4 EMT CONDUIT,,,,1.00,,,0.00,,$466.55,,,C,5.00,,C,,,,
"4,659",1 1/4 BUSH PLASTIC,,,,0.00,,,2.00,,$211.88,,,C,7.10,,C,,,,
"20,033",,"4#3 & 1#8  1 1/4"" EMT S/S R",,,,$43.45, ,,0.105,, ,$40.53,,, ,,$45.60,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
16,   3 THHN CU STRANDED 1,,,,4.00,,,60.00,,"$8,880.02",,,M,9.00,,M,,,,
"2,048",1 1/4 EMT CHNL STRAP W/,,,,0.13,,,3.00,,$196.96,,,C,6.00,,C,,,,
"1,734",1 1/4 EMT CONN S/S,,,,0.00,,,2.00,,$282.60,,,C,7.00,,C,,,,
"1,674",1 1/4 EMT BEND,,,,0.00,,,0.00,,$0.00,,,X,17.00,,C,,,,
"1,806",1 1/4 EMT COUP S/S,,,,0.10,,,3.00,,$328.80,,,C,5.00,,C,,,,
"1,617",1 1/4 EMT 90 ELBOW,,,,0.00,,,3.00,,"$2,268.60",,,C,10.00,,C,,,,
13,   8 THHN CU STRANDED 5,,,,1.00,,,15.00,,"$2,691.24",,,M,6.00,,M,,,,
"1,565",1 1/4 EMT CONDUIT,,,,1.00,,,0.00,,$466.55,,,C,5.00,,C,,,,
"4,659",1 1/4 BUSH PLASTIC,,,,0.00,,,2.00,,$211.88,,,C,7.10,,C,,,,
"20,035",,n2 emt s/s rack const,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"20,036",,"3 #2   1"" EMT   S/S RACK CO",,,,$36.70, ,,0.079,, ,$33.92,,, ,,$38.16,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
17,   2 THHN CU STRANDED 1,,,,3.00,,,45.00,,"$11,115.02",,,M,10.00,,M,,,,
"2,047",    1 EMT CHNL STRAP W/,,,,0.13,,,0.00,,$187.40,,,C,4.00,,C,,,,
"1,564",    1 EMT CONDUIT,,,,1.00,,,0.00,,$295.75,,,C,4.00,,C,,,,
"1,805",    1 EMT COUP S/S,,,,0.10,,,0.00,,$164.40,,,C,4.00,,C,,,,
"1,733",    1 EMT CONN S/S,,,,0.00,,,2.00,,$145.80,,,C,6.00,,C,,,,
"20,037",,"3#2 & 1#6  1 1/4"" EMT S/S R",,,,$43.19, ,,0.100,, ,$40.14,,, ,,$45.16,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
17,   2 THHN CU STRANDED 1,,,,3.00,,,45.00,,"$11,115.02",,,M,10.00,,M,,,,
"1,806",1 1/4 EMT COUP S/S,,,,0.10,,,3.00,,$328.80,,,C,5.00,,C,,,,
"1,617",1 1/4 EMT 90 ELBOW,,,,0.00,,,3.00,,"$2,268.60",,,C,10.00,,C,,,,
14,   6 THHN CU STRANDED 7,,,,1.00,,,15.00,,"$4,600.64",,,M,7.00,,M,,,,
"1,565",1 1/4 EMT CONDUIT,,,,1.00,,,0.00,,$466.55,,,C,5.00,,C,,,,
"4,659",1 1/4 BUSH PLASTIC,,,,0.00,,,2.00,,$211.88,,,C,7.10,,C,,,,
"2,048",1 1/4 EMT CHNL STRAP W/,,,,0.13,,,3.00,,$196.96,,,C,6.00,,C,,,,
"1,734",1 1/4 EMT CONN S/S,,,,0.00,,,2.00,,$282.60,,,C,7.00,,C,,,,
"1,674",1 1/4 EMT BEND,,,,0.00,,,0.00,,$0.00,,,X,17.00,,C,,,,
"20,038",,"4 #2 1 1/4"" EMT S/S RACK CO",,,,$49.70, ,,0.103,, ,$45.79,,, ,,$51.51,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"2,048",1 1/4 EMT CHNL STRAP W/,,,,0.13,,,3.00,,$196.96,,,C,6.00,,C,,,,
"1,734",1 1/4 EMT CONN S/S,,,,0.00,,,2.00,,$282.60,,,C,7.00,,C,,,,
"1,674",1 1/4 EMT BEND,,,,0.00,,,0.00,,$0.00,,,X,17.00,,C,,,,
17,   2 THHN CU STRANDED 1,,,,4.00,,,60.00,,"$11,115.02",,,M,10.00,,M,,,,
"1,806",1 1/4 EMT COUP S/S,,,,0.10,,,3.00,,$328.80,,,C,5.00,,C,,,,
"1,617",1 1/4 EMT 90 ELBOW,,,,0.00,,,3.00,,"$2,268.60",,,C,10.00,,C,,,,
"1,565",1 1/4 EMT CONDUIT,,,,1.00,,,0.00,,$466.55,,,C,5.00,,C,,,,
"4,659",1 1/4 BUSH PLASTIC,,,,0.00,,,2.00,,$211.88,,,C,7.10,,C,,,,
"20,039",,"4#2 & 1#6 1 1/4"" EMT S/S RA",,,,$54.30, ,,0.110,, ,$49.94,,, ,,$56.19,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
17,   2 THHN CU STRANDED 1,,,,4.00,,,60.00,,"$11,115.02",,,M,10.00,,M,,,,
"1,806",1 1/4 EMT COUP S/S,,,,0.10,,,3.00,,$328.80,,,C,5.00,,C,,,,
"1,617",1 1/4 EMT 90 ELBOW,,,,0.00,,,3.00,,"$2,268.60",,,C,10.00,,C,,,,
14,   6 THHN CU STRANDED 7,,,,1.00,,,15.00,,"$4,600.64",,,M,7.00,,M,,,,
"1,565",1 1/4 EMT CONDUIT,,,,1.00,,,0.00,,$466.55,,,C,5.00,,C,,,,
"4,659",1 1/4 BUSH PLASTIC,,,,0.00,,,2.00,,$211.88,,,C,7.10,,C,,,,
"2,048",1 1/4 EMT CHNL STRAP W/,,,,0.13,,,3.00,,$196.96,,,C,6.00,,C,,,,
"1,734",1 1/4 EMT CONN S/S,,,,0.00,,,2.00,,$282.60,,,C,7.00,,C,,,,
"1,674",1 1/4 EMT BEND,,,,0.00,,,0.00,,$0.00,,,X,17.00,,C,,,,
"20,041",,n1 emt s/s rack const,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"20,042",,"3 #1   1 1/4"" EMT   S/S RAC",,,,$42.40, ,,0.096,, ,$39.33,,, ,,$44.25,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"1,806",1 1/4 EMT COUP S/S,,,,0.10,,,3.00,,$328.80,,,C,5.00,,C,,,,
"1,617",1 1/4 EMT 90 ELBOW,,,,0.00,,,3.00,,"$2,268.60",,,C,10.00,,C,,,,
"1,565",1 1/4 EMT CONDUIT,,,,1.00,,,0.00,,$466.55,,,C,5.00,,C,,,,
"4,659",1 1/4 BUSH PLASTIC,,,,0.00,,,2.00,,$211.88,,,C,7.10,,C,,,,
18,   1 THHN CU STRANDED 1,,,,3.00,,,45.00,,"$12,385.51",,,M,11.00,,M,,,,
"2,048",1 1/4 EMT CHNL STRAP W/,,,,0.13,,,3.00,,$196.96,,,C,6.00,,C,,,,
"1,734",1 1/4 EMT CONN S/S,,,,0.00,,,2.00,,$282.60,,,C,7.00,,C,,,,
"1,674",1 1/4 EMT BEND,,,,0.00,,,0.00,,$0.00,,,X,17.00,,C,,,,
"20,043",,"3#1 & 1#6 1 1/4"" EMT S/S RA",,,,$47.00, ,,0.103,, ,$43.49,,, ,,$48.92,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
18,   1 THHN CU STRANDED 1,,,,3.00,,,45.00,,"$12,385.51",,,M,11.00,,M,,,,
"1,806",1 1/4 EMT COUP S/S,,,,0.10,,,3.00,,$328.80,,,C,5.00,,C,,,,
"1,617",1 1/4 EMT 90 ELBOW,,,,0.00,,,3.00,,"$2,268.60",,,C,10.00,,C,,,,
14,   6 THHN CU STRANDED 7,,,,1.00,,,15.00,,"$4,600.64",,,M,7.00,,M,,,,
"1,565",1 1/4 EMT CONDUIT,,,,1.00,,,0.00,,$466.55,,,C,5.00,,C,,,,
"4,659",1 1/4 BUSH PLASTIC,,,,0.00,,,2.00,,$211.88,,,C,7.10,,C,,,,
"2,048",1 1/4 EMT CHNL STRAP W/,,,,0.13,,,3.00,,$196.96,,,C,6.00,,C,,,,
"1,734",1 1/4 EMT CONN S/S,,,,0.00,,,2.00,,$282.60,,,C,7.00,,C,,,,
"1,674",1 1/4 EMT BEND,,,,0.00,,,0.00,,$0.00,,,X,17.00,,C,,,,
"20,044",,"4 #1 1 1/4"" EMT S/S RACK CO",,,,$54.78, ,,0.107,, ,$50.25,,, ,,$56.53,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"1,806",1 1/4 EMT COUP S/S,,,,0.10,,,3.00,,$328.80,,,C,5.00,,C,,,,
"1,617",1 1/4 EMT 90 ELBOW,,,,0.00,,,3.00,,"$2,268.60",,,C,10.00,,C,,,,
"1,565",1 1/4 EMT CONDUIT,,,,1.00,,,0.00,,$466.55,,,C,5.00,,C,,,,
"4,659",1 1/4 BUSH PLASTIC,,,,0.00,,,2.00,,$211.88,,,C,7.10,,C,,,,
18,   1 THHN CU STRANDED 1,,,,4.00,,,60.00,,"$12,385.51",,,M,11.00,,M,,,,
"2,048",1 1/4 EMT CHNL STRAP W/,,,,0.13,,,3.00,,$196.96,,,C,6.00,,C,,,,
"1,734",1 1/4 EMT CONN S/S,,,,0.00,,,2.00,,$282.60,,,C,7.00,,C,,,,
"1,674",1 1/4 EMT BEND,,,,0.00,,,0.00,,$0.00,,,X,17.00,,C,,,,
"20,045",,"4#1 & 1#6  1 1/2"" EMT S/S R",,,,$60.73, ,,0.125,, ,$55.93,,, ,,$62.92,, ,
